date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated
2021-01-06,3836,3836,3836,0,0,0,3836,3836,3836
2021-01-07,10223,10223,10223,0,0,0,10223,10223,10223
2021-01-08,17998,17998,17998,0,0,0,17998,17998,17998
2021-01-09,25763,25763,25763,0,0,0,25763,25763,25763
2021-01-10,33757,33757,33757,0,0,0,33757,33757,33757
2021-01-11,43349,43349,43349,0,0,0,43349,43349,43349
2021-01-12,50395,50395,50395,0,0,0,50395,50395,50395
2021-01-13,56054,56054,56054,0,0,0,56054,56054,56054
2021-01-14,61709,61709,61709,0,0,0,61709,61709,61709
2021-01-15,67135,67135,67135,0,0,0,67135,67135,67135
2021-01-16,72098,72098,72098,0,0,0,72098,72098,72098
2021-01-17,77062,77062,77062,0,0,0,77062,77062,77062
2021-01-18,92711,92711,92711,0,0,0,92711,92711,92711
2021-01-19,108361,108361,108361,0,0,0,108361,108361,108361
2021-01-20,124009,124009,124009,0,0,0,124009,124009,124009
2021-01-21,139654,139654,139654,0,0,0,139654,139654,139654
2021-01-22,156150,156150,156150,0,0,0,156150,156150,156150
2021-01-23,169183,169183,169183,0,0,0,169183,169183,169183
2021-01-24,182214,182214,182214,0,0,0,182214,182214,182214
2021-01-25,196628,200464,198546,0,0,0,192792,200464,196628
2021-01-26,211965,222188,217076,0,10223,5112,201742,222188,211965
2021-01-27,232786,250784,241785,0,17998,8999,214788,250784,232786
2021-01-28,257558,283321,270440,0,25763,12882,231795,283321,257558
2021-01-29,286239,319996,303118,0,33757,16878,252482,319996,286239
2021-01-30,286390,324429,305410,0,38039,19020,248351,324429,286390
2021-01-31,302198,348757,325478,3836,50395,27116,251803,344921,298362
2021-02-01,331010,376841,353926,10223,56054,33138,274956,366618,320787
2021-02-02,359989,403700,381844,17998,61709,39854,298280,385702,341991
2021-02-03,387382,428754,408068,25763,67135,46449,320247,402991,361619
2021-02-04,417023,455364,436194,33757,72098,52928,344925,421607,383266
2021-02-05,445345,479058,462202,43349,77062,60206,368283,435709,401996
2021-02-06,457884,499750,478817,50395,92261,71328,365623,449355,407489
2021-02-07,466343,517750,492046,56054,107461,81758,358882,461696,410289
2021-02-08,499494,545246,522370,61709,107461,84585,392033,483537,437785
2021-02-09,531797,572123,551960,67135,107461,87298,424336,504988,464662
2021-02-10,548586,599147,573866,72098,122659,97378,425927,527049,476488
2021-02-11,565340,626132,595736,77062,137854,107458,427486,549070,488278
2021-02-12,581265,642880,612072,92261,153876,123068,427389,550619,489004
2021-02-13,596634,656157,626396,107461,166984,137222,429650,548696,489173
2021-02-14,612001,684630,648316,107461,180090,143776,431911,577169,504540
2021-02-15,629416,716286,672851,107461,194331,150896,435085,608825,521955
2021-02-16,646026,747941,696984,107461,209376,158418,436650,640480,538565
2021-02-17,661129,783362,722246,107461,229694,168578,431435,675901,553668
2021-02-18,673861,820129,746995,107461,253729,180595,420132,712668,566400
2021-02-19,686712,859188,772950,107461,279937,193699,406775,751727,579251
2021-02-20,722623,882119,802371,122659,282155,202407,440468,759460,599964
2021-02-21,745158,905047,825102,137854,297743,217798,447415,767193,607304
2021-02-22,758705,926880,842792,153876,322051,237964,436654,773004,604829
2021-02-23,774376,957513,865944,166984,350121,258552,424255,790529,607392
2021-02-24,792551,995043,893797,180090,382582,281336,409969,814953,612461
2021-02-25,816265,1030441,923353,198167,412343,305255,403922,832274,618098
2021-02-26,873279,1066985,970132,219599,413305,316452,459974,847386,653680
2021-02-27,925315,1091867,1008591,247692,414244,330968,511071,844175,677623
2021-02-28,973480,1110334,1041907,278333,415187,346760,558293,832001,695147
2021-03-01,1017917,1124440,1071178,309558,416081,362820,601836,814882,708359
2021-03-02,1063416,1160245,1111830,320194,417023,368608,646393,840051,743222
2021-03-03,1107209,1180836,1144022,344302,417929,381116,689280,836534,762907
2021-03-04,1150599,1196859,1173729,372424,418684,395554,731915,824435,778175
2021-03-05,1164950,1212242,1188596,399452,446744,423098,718206,812790,765498
2021-03-06,1190628,1225263,1207946,424865,459500,442182,731128,800398,765763
2021-03-07,1216302,1236113,1226208,448451,468262,458356,748040,787662,767851
2021-03-08,1232703,1274217,1253460,451646,493160,472403,739543,822571,781057
2021-03-09,1249377,1315225,1282301,452585,518433,485509,730944,862640,796792
2021-03-10,1275363,1356283,1315823,453528,534448,493988,740915,902755,821835
2021-03-11,1316923,1397333,1357128,454422,534832,494627,782091,942911,862501
2021-03-12,1356294,1436146,1396220,455364,535216,495290,821078,980782,900930
2021-03-13,1394468,1474990,1434729,456270,536792,496531,857676,1018720,938198
2021-03-14,1432619,1513962,1473290,457025,538368,497696,894251,1056937,975594
2021-03-15,1445488,1543755,1494622,457669,555936,506802,889552,1086086,987819
2021-03-16,1458407,1573421,1515914,458641,573655,516148,884752,1114780,999766
2021-03-17,1472230,1580546,1526388,482376,590692,536534,881538,1098170,989854
2021-03-18,1486245,1590421,1538333,503250,607426,555338,878819,1087171,982995
2021-03-19,1500044,1602541,1551292,521542,624039,572790,876005,1080999,978502
2021-03-20,1529302,1605568,1567435,548922,625188,587055,904114,1056646,980380
2021-03-21,1558362,1609287,1583824,575608,626533,601070,931829,1033679,982754
2021-03-22,1587246,1622443,1604844,592927,628124,610526,959122,1029516,994319
2021-03-23,1611355,1636075,1623715,613403,638123,625763,973232,1022672,997952
2021-03-24,1648853,1655228,1652040,640384,646759,643572,1002094,1014844,1008469
2021-03-25,1678830,1689303,1684066,652379,662852,657616,1015978,1036924,1026451
2021-03-26,1698443,1734680,1716562,654852,691089,672970,1007354,1079828,1043591
2021-03-27,1741088,1779560,1760324,656804,695276,676040,1045812,1122756,1084284
2021-03-28,1785477,1800794,1793136,682400,697717,690058,1087760,1118394,1103077
2021-03-29,1846487,1851976,1849232,694668,700157,697412,1146330,1157308,1151819
2021-03-30,1890773,1917308,1904040,696685,723220,709952,1167553,1220623,1194088
2021-03-31,1940856,1988315,1964586,698704,746163,722434,1194693,1289611,1242152
2021-04-01,1987888,2059727,2023808,700145,771984,736064,1215904,1359582,1287743
2021-04-02,2036089,2130237,2083163,704707,798855,751781,1237234,1425530,1331382
2021-04-03,2058478,2146765,2102622,739208,827495,783352,1230983,1407557,1319270
2021-04-04,2095387,2162675,2129031,772728,840016,806372,1255371,1389947,1322659
2021-04-05,2138282,2186935,2162608,803766,852419,828092,1285863,1383169,1334516
2021-04-06,2211524,2231636,2221580,842087,862199,852143,1349325,1389549,1369437
2021-04-07,2288925,2291775,2290350,875942,878792,877367,1410133,1415833,1412983
2021-04-08,2362321,2370333,2366327,899408,907420,903414,1454901,1470925,1462913
2021-04-09,2438436,2460421,2449428,916533,938518,927526,1499918,1543888,1521903
2021-04-10,2538075,2546257,2542166,932833,941015,936924,1597060,1613424,1605242
2021-04-11,2623754,2641002,2632378,939023,956271,947647,1667483,1701979,1684731
2021-04-12,2728137,2759752,2743944,941034,972649,956842,1755488,1818718,1787103
2021-04-13,2847737,2878633,2863185,942808,973704,958256,1874033,1935825,1904929
2021-04-14,2966840,2975447,2971144,966240,974847,970544,1991993,2009207,2000600
2021-04-15,3073250,3083944,3078597,975134,985828,980481,2087422,2108810,2098116
2021-04-16,3162038,3193781,3177910,979916,1011659,995788,2150379,2213865,2182122
2021-04-17,3246601,3299343,3272972,984554,1037296,1010925,2209305,2314789,2262047
2021-04-18,3329755,3403642,3366698,988278,1062165,1025222,2267590,2415364,2341477
2021-04-19,3413974,3513041,3463508,991666,1090733,1041200,2323241,2521375,2422308
2021-04-20,3505029,3596323,3550676,1017050,1108344,1062697,2396685,2579273,2487979
2021-04-21,3584375,3666276,3625326,1044583,1126484,1085534,2457891,2621693,2539792
2021-04-22,3655252,3728357,3691804,1072168,1145273,1108720,2509979,2656189,2583084
2021-04-23,3725288,3789505,3757396,1099705,1163922,1131814,2561366,2689800,2625583
2021-04-24,3796086,3851915,3824000,1125940,1181769,1153854,2614317,2725975,2670146
2021-04-25,3851519,3914106,3882812,1152169,1214756,1183462,2636763,2761937,2699350
2021-04-26,3917314,3986602,3951958,1182933,1252221,1217577,2665093,2803669,2734381
2021-04-27,3985348,4053015,4019182,1219542,1287209,1253376,2698139,2833473,2765806
2021-04-28,4056789,4118087,4087438,1255531,1316829,1286180,2739960,2862556,2801258
2021-04-29,4124758,4200569,4162664,1279495,1355306,1317400,2769452,2921074,2845263
2021-04-30,4189256,4280157,4234706,1305936,1396837,1351386,2792419,2974221,2883320
2021-05-01,4260162,4364024,4312093,1336291,1440153,1388222,2820009,3027733,2923871
2021-05-02,4321439,4448006,4384722,1357124,1483691,1420408,2837748,3090882,2964315
2021-05-03,4416347,4541444,4478896,1379629,1504726,1442178,2911621,3161815,3036718
2021-05-04,4475149,4633445,4554297,1399375,1557671,1478523,2917478,3234070,3075774
2021-05-05,4536392,4742290,4639341,1420765,1626663,1523714,2909729,3321525,3115627
2021-05-06,4592370,4848932,4720651,1444745,1701307,1573026,2891063,3404187,3147625
2021-05-07,4650331,4952234,4801282,1475131,1777034,1626082,2873297,3477103,3175200
2021-05-08,4707712,5056380,4882046,1503012,1851680,1677346,2856032,3553368,3204700
2021-05-09,4805666,5132283,4968974,1552667,1879284,1715976,2926382,3579616,3252999
2021-05-10,4914322,5214199,5064260,1602699,1902576,1752638,3011746,3611500,3311623
