date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated
2021-01-06,3836,3836,3836,0,0,0,3836,3836,3836
2021-01-07,10223,10223,10223,0,0,0,10223,10223,10223
2021-01-08,17998,17998,17998,0,0,0,17998,17998,17998
2021-01-09,25763,25763,25763,0,0,0,25763,25763,25763
2021-01-10,33757,33757,33757,0,0,0,33757,33757,33757
2021-01-11,43349,43349,43349,0,0,0,43349,43349,43349
2021-01-12,50395,50395,50395,0,0,0,50395,50395,50395
2021-01-13,56054,56054,56054,0,0,0,56054,56054,56054
2021-01-14,61709,61709,61709,0,0,0,61709,61709,61709
2021-01-15,67135,67135,67135,0,0,0,67135,67135,67135
2021-01-16,72098,72098,72098,0,0,0,72098,72098,72098
2021-01-17,77062,77062,77062,0,0,0,77062,77062,77062
2021-01-18,92711,92711,92711,0,0,0,92711,92711,92711
2021-01-19,108361,108361,108361,0,0,0,108361,108361,108361
2021-01-20,124009,124009,124009,0,0,0,124009,124009,124009
2021-01-21,139654,139654,139654,0,0,0,139654,139654,139654
2021-01-22,156150,156150,156150,0,0,0,156150,156150,156150
2021-01-23,169183,169183,169183,0,0,0,169183,169183,169183
2021-01-24,182214,182214,182214,0,0,0,182214,182214,182214
2021-01-25,196628,200464,198546,0,0,0,192792,200464,196628
2021-01-26,211965,222188,217076,0,10223,5112,201742,222188,211965
2021-01-27,232786,250784,241785,0,17998,8999,214788,250784,232786
2021-01-28,257558,283321,270440,0,25763,12882,231795,283321,257558
2021-01-29,286239,319996,303118,0,33757,16878,252482,319996,286239
2021-01-30,286389,324429,305409,0,38040,19020,248349,324429,286389
2021-01-31,302198,348757,325478,3836,50395,27116,251803,344921,298362
2021-02-01,331010,376841,353926,10223,56054,33138,274956,366618,320787
2021-02-02,359989,403700,381844,17998,61709,39854,298280,385702,341991
2021-02-03,387382,428754,408068,25763,67135,46449,320247,402991,361619
2021-02-04,417023,455364,436194,33757,72098,52928,344925,421607,383266
2021-02-05,445345,479058,462202,43349,77062,60206,368283,435709,401996
2021-02-06,457882,499750,478816,50395,92263,71329,365619,449355,407487
2021-02-07,466339,517750,492044,56054,107465,81760,358874,461696,410285
2021-02-08,499490,545246,522368,61709,107465,84587,392025,483537,437781
2021-02-09,531792,572122,551957,67135,107465,87300,424327,504987,464657
2021-02-10,548580,599147,573864,72098,122665,97382,425915,527049,476482
2021-02-11,565333,626133,595733,77062,137862,107462,427471,549071,488271
2021-02-12,581258,642880,612069,92263,153885,123074,427373,550617,488995
2021-02-13,596627,656155,626391,107465,166993,137229,429634,548690,489162
2021-02-14,611994,684628,648311,107465,180099,143782,431895,577163,504529
2021-02-15,629408,716285,672846,107465,194342,150904,435066,608820,521943
2021-02-16,646015,747940,696978,107465,209390,158428,436625,640475,538550
2021-02-17,661114,783362,722238,107465,229713,168589,431401,675897,553649
2021-02-18,673840,820129,746984,107465,253754,180610,420086,712664,566375
2021-02-19,686710,859189,772950,107465,279944,193704,406766,751724,579245
2021-02-20,722600,882117,802358,122665,282182,202424,440418,759452,599935
2021-02-21,745134,905044,825089,137862,297772,217817,447362,767182,607272
2021-02-22,758682,926877,842780,153885,322080,237982,436602,772992,604797
2021-02-23,774354,957511,865932,166993,350150,258572,424204,790518,607361
2021-02-24,792529,995041,893785,180099,382611,281355,409918,814942,612430
2021-02-25,816242,1030436,923339,198178,412372,305275,403870,832258,618064
2021-02-26,873261,1066976,970118,219613,413328,316470,459933,847363,653648
2021-02-27,925303,1091853,1008578,247711,414261,330986,511042,844142,677592
2021-02-28,973473,1110313,1041893,278358,415198,346778,558275,831955,695115
2021-03-01,1017916,1124370,1071143,309632,416086,362859,601830,814738,708284
2021-03-02,1063421,1160222,1111822,320222,417023,368622,646398,840000,743199
2021-03-03,1107219,1180812,1144016,344331,417924,381128,689295,836481,762888
2021-03-04,1150612,1196834,1173723,372453,418675,395564,731937,824381,778159
2021-03-05,1164962,1212219,1188590,399479,446736,423108,718226,812740,765483
2021-03-06,1190644,1225241,1207942,424890,459487,442188,731157,800351,765754
2021-03-07,1216323,1236053,1226188,448514,468244,458379,748079,787539,767809
2021-03-08,1232841,1274198,1253520,451669,493026,472348,739815,822529,781172
2021-03-09,1249633,1315211,1282422,452602,518180,485391,731453,862609,797031
2021-03-10,1275394,1356275,1315834,453539,534420,493980,740974,902736,821855
2021-03-11,1316957,1397331,1357144,454427,534801,494614,782156,942904,862530
2021-03-12,1356333,1436150,1396242,455364,535181,495272,821152,980786,900969
2021-03-13,1394514,1474999,1434756,456265,536750,496508,857764,1018734,938249
2021-03-14,1432671,1513974,1473322,457016,538319,497668,894352,1056958,975655
2021-03-15,1445547,1543771,1494659,457656,555880,506768,889667,1086115,987891
2021-03-16,1458473,1573444,1515958,458621,573592,516106,884881,1114823,999852
2021-03-17,1472302,1580571,1526436,482354,590623,536488,881679,1098217,989948
2021-03-18,1486324,1590448,1538386,503226,607350,555288,878974,1087222,983098
2021-03-19,1500128,1602570,1551349,521516,623958,572737,876170,1081054,978612
2021-03-20,1529384,1605599,1567492,548894,625109,587002,904275,1056705,980490
2021-03-21,1558441,1609319,1583880,575579,626457,601018,931984,1033740,982862
2021-03-22,1587323,1622491,1604907,592882,628050,610466,959273,1029609,994441
2021-03-23,1611455,1636143,1623799,613338,638026,625682,973429,1022805,998117
2021-03-24,1648973,1655320,1652146,640295,646642,643468,1002331,1015025,1008678
2021-03-25,1678886,1689445,1684166,652241,662800,657520,1016086,1037204,1026645
2021-03-26,1698526,1734846,1716686,654690,691010,672850,1007516,1080156,1043836
2021-03-27,1741164,1779735,1760450,656634,695205,675920,1045959,1123101,1084530
2021-03-28,1785565,1801017,1793291,682182,697634,689908,1087931,1118835,1103383
2021-03-29,1846586,1852229,1849408,694420,700063,697242,1146523,1157809,1152166
2021-03-30,1890889,1917571,1904230,696427,723109,709768,1167780,1221144,1194462
2021-03-31,1940988,1988587,1964788,698437,746036,722236,1194952,1290150,1242551
2021-04-01,1988038,2060004,2024021,699873,771839,735856,1216199,1360131,1288165
2021-04-02,2036259,2130509,2083384,704440,798690,751565,1237569,1426069,1331819
2021-04-03,2058670,2146999,2102834,738979,827308,783144,1231362,1408020,1319691
2021-04-04,2095603,2162874,2129238,772535,839806,806170,1255797,1390339,1323068
2021-04-05,2138520,2187092,2162806,803615,852187,827901,1286333,1383477,1334905
2021-04-06,2211768,2231856,2221812,841872,861960,851916,1349808,1389984,1369896
2021-04-07,2289173,2291949,2290561,875773,878549,877161,1410624,1416176,1413400
2021-04-08,2362451,2370584,2366518,899163,907296,903230,1455155,1471421,1463288
2021-04-09,2438521,2460676,2449598,916285,938440,927362,1500081,1544391,1522236
2021-04-10,2538107,2546512,2542310,932585,940990,936788,1597117,1613927,1605522
2021-04-11,2623734,2641258,2632496,938774,956298,947536,1667436,1702484,1684960
2021-04-12,2728070,2760017,2744044,940776,972723,956750,1755347,1819241,1787294
2021-04-13,2847660,2878902,2863281,942545,973787,958166,1873873,1936357,1905115
2021-04-14,2966755,2975627,2971191,966066,974938,970502,1991817,2009561,2000689
2021-04-15,3073509,3084086,3078798,974998,985575,980286,2087934,2109088,2098511
2021-04-16,3162410,3193884,3178147,979818,1011292,995555,2151118,2214066,2182592
2021-04-17,3247080,3299409,3273244,984492,1036821,1010656,2210259,2314917,2262588
2021-04-18,3330334,3403677,3367006,988246,1061589,1024918,2268745,2415431,2342088
2021-04-19,3414658,3513082,3463870,991601,1090025,1040813,2324633,2521481,2423057
2021-04-20,3505713,3596435,3551074,1016889,1107611,1062250,2398102,2579546,2488824
2021-04-21,3585060,3666491,3625776,1044296,1125727,1085012,2459333,2622195,2540764
2021-04-22,3655931,3728673,3692302,1071760,1144502,1108131,2511429,2656913,2584171
2021-04-23,3725959,3789925,3757942,1099174,1163140,1131157,2562819,2690751,2626785
2021-04-24,3796763,3852430,3824596,1125293,1180960,1153126,2615803,2727137,2671470
2021-04-25,3852200,3914717,3883458,1151405,1213922,1182664,2638278,2763312,2700795
2021-04-26,3918061,3987312,3952686,1181966,1251217,1216592,2666844,2805346,2736095
2021-04-27,3986150,4053719,4019934,1218477,1286046,1252262,2700104,2835242,2767673
2021-04-28,4057629,4118783,4088206,1254372,1315526,1284949,2742103,2864411,2803257
2021-04-29,4125638,4201262,4163450,1278229,1353853,1316041,2771785,2923033,2847409
2021-04-30,4190173,4280801,4235487,1304611,1395239,1349925,2794934,2976190,2885562
2021-05-01,4260747,4364638,4312692,1334878,1438769,1386824,2821978,3029760,2925869
2021-05-02,4322011,4448589,4385300,1355635,1482213,1418924,2839798,3092954,2966376
2021-05-03,4416869,4541992,4479430,1378264,1503387,1440826,2913482,3163728,3038605
2021-05-04,4475599,4633970,4554784,1398120,1556491,1477306,2919108,3235850,3077479
2021-05-05,4536793,4742800,4639796,1419628,1625635,1522632,2911158,3323172,3117165
2021-05-06,4592729,4849456,4721092,1443695,1700422,1572058,2892307,3405761,3149034
2021-05-07,4650651,4952835,4801743,1474109,1776293,1625201,2874358,3478726,3176542
2021-05-08,4708017,5056993,4882505,1502078,1851054,1676566,2856963,3554915,3205939
2021-05-09,4806011,5132937,4969474,1551788,1878714,1715251,2927297,3581149,3254223
2021-05-10,4914706,5214876,5064791,1601848,1902018,1751933,3012688,3613028,3312858
