date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated
2021-01-06,44,44,44,0,0,0,44,44,44
2021-01-07,15128,15128,15128,0,0,0,15128,15128,15128
2021-01-08,27022,27022,27022,0,0,0,27022,27022,27022
2021-01-09,32018,32018,32018,0,0,0,32018,32018,32018
2021-01-10,33934,33934,33934,0,0,0,33934,33934,33934
2021-01-11,42726,42726,42726,0,0,0,42726,42726,42726
2021-01-12,45087,45087,45087,0,0,0,45087,45087,45087
2021-01-13,47006,47006,47006,0,0,0,47006,47006,47006
2021-01-14,49487,49487,49487,0,0,0,49487,49487,49487
2021-01-15,58332,58332,58332,0,0,0,58332,58332,58332
2021-01-16,67447,67447,67447,0,0,0,67447,67447,67447
2021-01-17,77807,77807,77807,0,0,0,77807,77807,77807
2021-01-18,91488,91488,91488,0,0,0,91488,91488,91488
2021-01-19,103956,103956,103956,0,0,0,103956,103956,103956
2021-01-20,123957,123957,123957,0,0,0,123957,123957,123957
2021-01-21,141497,141497,141497,0,0,0,141497,141497,141497
2021-01-22,154053,154053,154053,0,0,0,154053,154053,154053
2021-01-23,167867,167867,167867,0,0,0,167867,167867,167867
2021-01-24,182079,182079,182079,0,0,0,182079,182079,182079
2021-01-25,198617,198661,198639,0,0,0,198573,198661,198617
2021-01-26,206500,221628,214064,0,15128,7564,191372,221628,206500
2021-01-27,229052,256074,242563,0,27022,13511,202030,256074,229052
2021-01-28,256067,288085,272076,0,32018,16009,224049,288085,256067
2021-01-29,283518,317452,300485,0,33934,16967,249584,317452,283518
2021-01-30,283863,322585,303224,0,38722,19361,245141,322585,283863
2021-01-31,298794,343837,321316,44,45087,22566,253707,343793,298750
2021-02-01,328894,360772,344833,15128,47006,31067,281888,345644,313766
2021-02-02,366597,389062,377830,27022,49487,38254,317110,362040,339575
2021-02-03,396656,422970,409813,32018,58332,45175,338324,390952,364638
2021-02-04,428077,461590,444834,33934,67447,50690,360630,427656,394143
2021-02-05,454898,489979,472438,42726,77807,60266,377091,447253,412172
2021-02-06,477362,523763,500562,45087,91488,68288,385874,478676,432275
2021-02-07,477440,524341,500890,47006,93907,70456,383533,477335,430434
2021-02-08,491963,546432,519198,49487,103956,76722,388007,496945,442476
2021-02-09,522174,567798,544986,58332,103956,81144,418218,509466,463842
2021-02-10,536310,592820,564565,67447,123957,95702,412353,525373,468863
2021-02-11,553373,617063,585218,77807,141497,109652,411876,539256,475566
2021-02-12,571103,633668,602386,91488,154053,122770,417050,542180,479615
2021-02-13,586478,650389,618434,103956,167867,135912,418611,546433,482522
2021-02-14,601506,679629,640568,103956,182079,143018,419427,575673,497550
2021-02-15,609092,696927,653010,103956,191791,147874,417301,592971,505136
2021-02-16,632069,731949,682009,103956,203836,153896,428233,627993,528113
2021-02-17,650865,770977,710921,103956,224068,164012,426797,667021,546909
2021-02-18,668737,811729,740233,103956,246948,175452,421789,707773,564781
2021-02-19,687477,854460,770968,103956,270939,187448,416538,750504,583521
2021-02-20,711887,867173,789530,120231,275517,197874,436370,746942,591656
2021-02-21,723696,878949,801322,135308,290561,212934,433135,743641,588388
2021-02-22,742892,908784,825838,154053,319945,236999,422947,754731,588839
2021-02-23,761985,944633,853309,167867,350515,259191,411470,776766,594118
2021-02-24,783808,987186,885497,182079,385457,283768,398351,805107,601729
2021-02-25,819751,1038610,929180,197544,416403,306974,403348,841066,622207
2021-02-26,869008,1066739,967874,218964,416695,317830,452313,847775,650044
2021-02-27,902077,1079723,990900,239245,416891,328068,485186,840478,662832
2021-02-28,919634,1086617,1003126,250012,416995,333504,502639,836605,669622
2021-03-01,957950,1102704,1030327,276909,421663,349286,536287,825795,681041
2021-03-02,998654,1118677,1058666,306599,426622,366610,572032,812078,692055
2021-03-03,1041338,1134975,1088156,335604,429241,382422,612097,799371,705734
2021-03-04,1096596,1173112,1134854,353857,430373,392115,666223,819255,742739
2021-03-05,1115163,1188226,1151694,383045,456108,419576,659055,805181,732118
2021-03-06,1123847,1195580,1159714,400627,472360,436494,651487,794953,723220
2021-03-07,1141154,1204154,1172654,415885,478885,447385,662269,788269,725269
2021-03-08,1162532,1215810,1189171,440383,493661,467022,668871,775427,722149
2021-03-09,1175732,1238880,1207306,457565,520713,489139,655019,781315,718167
2021-03-10,1215253,1281245,1248249,458795,524787,491791,690466,822450,756458
2021-03-11,1259122,1324624,1291873,460055,525557,492806,733565,864569,799067
2021-03-12,1306576,1371489,1339032,461416,526329,493872,780247,910073,845160
2021-03-13,1338241,1403154,1370698,462335,527248,494792,810993,940819,875906
2021-03-14,1364616,1429529,1397072,463101,528014,495558,836602,966428,901515
2021-03-15,1386852,1451765,1419308,463746,528659,496202,858193,988019,923106
2021-03-16,1417041,1481964,1449502,464612,529535,497074,887506,1017352,952429
2021-03-17,1446762,1511751,1479256,465409,530398,497904,916364,1046342,981353
2021-03-18,1463700,1541924,1502812,466285,544509,505397,919191,1075639,997415
2021-03-19,1479284,1573658,1526471,467206,561580,514393,917704,1106452,1012078
2021-03-20,1491060,1583199,1537130,487205,579344,533274,911716,1095994,1003855
2021-03-21,1503433,1592162,1547798,506003,594732,550368,908701,1086159,997430
