date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated
2021-01-06,3835,3835,3835,0,0,0,3835,3835,3835
2021-01-07,10221,10221,10221,0,0,0,10221,10221,10221
2021-01-08,17996,17996,17996,0,0,0,17996,17996,17996
2021-01-09,25760,25760,25760,0,0,0,25760,25760,25760
2021-01-10,33753,33753,33753,0,0,0,33753,33753,33753
2021-01-11,43344,43344,43344,0,0,0,43344,43344,43344
2021-01-12,50390,50390,50390,0,0,0,50390,50390,50390
2021-01-13,56048,56048,56048,0,0,0,56048,56048,56048
2021-01-14,61703,61703,61703,0,0,0,61703,61703,61703
2021-01-15,67128,67128,67128,0,0,0,67128,67128,67128
2021-01-16,72091,72091,72091,0,0,0,72091,72091,72091
2021-01-17,77054,77054,77054,0,0,0,77054,77054,77054
2021-01-18,92699,92699,92699,0,0,0,92699,92699,92699
2021-01-19,108344,108344,108344,0,0,0,108344,108344,108344
2021-01-20,123988,123988,123988,0,0,0,123988,123988,123988
2021-01-21,139629,139629,139629,0,0,0,139629,139629,139629
2021-01-22,156121,156121,156121,0,0,0,156121,156121,156121
2021-01-23,169149,169149,169149,0,0,0,169149,169149,169149
2021-01-24,182176,182176,182176,0,0,0,182176,182176,182176
2021-01-25,196531,200366,198448,0,0,0,192696,200366,196531
2021-01-26,211809,222030,216920,0,10221,5110,201588,222030,211809
2021-01-27,232570,250566,241568,0,17996,8998,214574,250566,232570
2021-01-28,257282,283042,270162,0,25760,12880,231522,283042,257282
2021-01-29,285904,319657,302780,0,33753,16876,252151,319657,285904
2021-01-30,286054,324082,305068,0,38028,19014,248026,324082,286054
2021-01-31,301800,348355,325078,3835,50390,27112,251410,344520,297965
2021-02-01,330602,376429,353516,10221,56048,33134,274554,366208,320381
2021-02-02,359570,403277,381424,17996,61703,39850,297867,385281,341574
2021-02-03,386953,428321,407637,25760,67128,46444,319825,402561,361193
2021-02-04,416582,454920,435751,33753,72091,52922,344491,421167,382829
2021-02-05,444894,478604,461749,43344,77054,60199,367840,435260,401550
2021-02-06,457424,499285,478354,50390,92251,71320,365173,448895,407034
2021-02-07,465875,517275,491575,56048,107448,81748,358427,461227,409827
2021-02-08,499007,544752,521880,61703,107448,84576,391559,483049,437304
2021-02-09,531291,571611,551451,67128,107448,87288,423843,504483,464163
2021-02-10,548064,598617,573340,72091,122644,97368,425420,526526,475973
2021-02-11,564801,625584,595192,77054,137837,107446,426964,548530,487747
2021-02-12,580711,642316,611514,92251,153856,123054,426855,550065,488460
2021-02-13,596067,655578,625822,107448,166959,137204,429108,548130,488619
2021-02-14,611421,684034,647728,107448,180061,143754,431360,576586,503973
2021-02-15,628840,715639,672240,107448,194247,150848,434593,608191,521392
2021-02-16,645453,747243,696348,107448,209238,158343,436215,639795,538005
2021-02-17,660558,782613,721586,107448,229503,168476,431055,675165,553110
2021-02-18,673292,819330,746311,107448,253486,180467,419806,711882,565844
2021-02-19,686131,858338,772234,107448,279655,193552,406476,750890,578683
2021-02-20,722009,881220,801614,122644,281855,202250,440154,758576,599365
2021-02-21,744555,904100,824328,137837,297382,217610,447173,766263,606718
2021-02-22,758077,925860,841968,153856,321639,237748,436438,772004,604221
2021-02-23,773724,956422,865073,166959,349657,258308,424067,789463,606765
2021-02-24,791875,993881,892878,180061,382067,281064,409808,813820,611814
2021-02-25,815408,1029260,922334,198082,411934,305008,403474,831178,617326
2021-02-26,872354,1065783,969068,219459,412888,316174,459466,846324,652895
2021-02-27,924320,1090642,1007481,247499,413821,330660,510499,843143,676821
2021-02-28,972414,1109076,1040745,278096,414758,346427,557656,830980,694318
2021-03-01,1016807,1123103,1069955,309350,415646,362498,601161,813753,707457
2021-03-02,1062261,1158960,1110610,319883,416582,368232,645679,839077,742378
2021-03-03,1106008,1179554,1142781,343937,417483,380710,688525,835617,762071
2021-03-04,1149352,1195538,1172445,372047,418233,395140,731119,823491,777305
2021-03-05,1163660,1210884,1187272,399060,446284,422672,717376,811824,764600
2021-03-06,1189297,1223867,1206582,424459,459029,441744,730268,799408,764838
2021-03-07,1214930,1234651,1224790,448059,467780,457920,747150,786592,766871
2021-03-08,1231230,1272579,1251904,451226,492575,471900,738655,821353,780004
2021-03-09,1247802,1313388,1280595,452159,517745,484952,730057,861229,795643
2021-03-10,1273427,1354249,1313838,453096,533918,493507,739509,901153,820331
2021-03-11,1314785,1395100,1354942,453984,534299,494142,780486,941116,860801
2021-03-12,1353956,1433716,1393836,454920,534680,494800,819276,978796,899036
2021-03-13,1391935,1472360,1432148,455821,536246,496034,855689,1016539,936114
2021-03-14,1429892,1511133,1470512,456571,537812,497192,892080,1054562,973321
2021-03-15,1442771,1540915,1491843,457211,555355,506283,887416,1083704,985560
2021-03-16,1455700,1570573,1513136,458176,573049,515612,882651,1112397,997524
2021-03-17,1469532,1577695,1523614,481899,590062,535980,879470,1095796,987633
2021-03-18,1483552,1587566,1535559,502761,606775,554768,876777,1084805,980791
2021-03-19,1497356,1599683,1548520,521041,623368,572204,873988,1078642,976315
2021-03-20,1526599,1602716,1564658,548400,624517,586458,902082,1054316,978199
2021-03-21,1555643,1606439,1581041,575067,625863,600465,929780,1031372,980576
2021-03-22,1584397,1619537,1601967,592315,627455,609885,956942,1027222,992082
2021-03-23,1608370,1633118,1620744,612714,637462,625088,970908,1020404,995656
2021-03-24,1645725,1652218,1648972,639619,646112,642866,999613,1012599,1006106
2021-03-25,1675566,1686036,1680801,651743,662213,656978,1013353,1034293,1023823
2021-03-26,1695127,1731274,1713200,654226,690373,672300,1004754,1077048,1040901
2021-03-27,1737610,1776035,1756822,656169,694594,675382,1043016,1119866,1081441
2021-03-28,1781884,1797174,1789529,681731,697021,689376,1084863,1115443,1100153
2021-03-29,1842345,1847787,1845066,694006,699448,696727,1142897,1153781,1148339
2021-03-30,1886112,1912567,1899340,696012,722467,709240,1163645,1216555,1190100
2021-03-31,1935677,1983024,1959350,698020,745367,721694,1190310,1285004,1237657
2021-04-01,1982193,2053883,2018038,699454,771144,735299,1211049,1354429,1282739
2021-04-02,2029876,2123984,2076930,703863,797971,750917,1231905,1420121,1326013
2021-04-03,2051748,2140274,2096011,738040,826566,782303,1225182,1402234,1313708
2021-04-04,2088138,2155947,2122042,771235,839044,805140,1249094,1384712,1316903
2021-04-05,2130041,2179767,2154904,801678,851404,826541,1278637,1378089,1328363
2021-04-06,2202300,2222307,2212304,841124,861131,851128,1341169,1381183,1361176
2021-04-07,2278717,2281389,2280053,875003,877675,876339,1401042,1406386,1403714
2021-04-08,2350874,2359138,2355006,898244,906508,902376,1444366,1460894,1452630
2021-04-09,2425927,2448186,2437056,915375,937634,926504,1488293,1532811,1510552
2021-04-10,2524486,2532978,2528732,931683,940175,935929,1584311,1601295,1592803
2021-04-11,2609094,2626682,2617888,937880,955468,946674,1653626,1688802,1671214
2021-04-12,2710845,2742844,2726844,939879,971878,955878,1738967,1802965,1770966
2021-04-13,2827836,2859128,2843482,941649,972941,957295,1854895,1917479,1886187
2021-04-14,2944331,2953217,2948774,965205,974091,969648,1970240,1988012,1979126
2021-04-15,3048402,3059044,3053723,974170,984812,979491,2063590,2084874,2074232
2021-04-16,3134687,3166252,3150470,978980,1010545,994762,2124142,2187272,2155707
2021-04-17,3216764,3269187,3242976,983644,1036067,1009856,2180697,2285543,2233120
2021-04-18,3297423,3370868,3334146,987385,1060830,1024108,2236593,2383483,2310038
2021-04-19,3377277,3475796,3426536,990749,1089268,1040008,2289503,2486541,2388022
2021-04-20,3462372,3553179,3507776,1014547,1105354,1059950,2358455,2540069,2449262
2021-04-21,3535815,3617306,3576560,1040530,1122021,1081276,2415076,2578058,2496567
2021-04-22,3600941,3673712,3637326,1066722,1139493,1103108,2462623,2608165,2535394
2021-04-23,3665332,3729296,3697314,1092969,1156933,1124951,2509560,2637488,2573524
2021-04-24,3730542,3786154,3758348,1117928,1173540,1145734,2558162,2669386,2613774
2021-04-25,3780402,3842797,3811600,1142880,1205275,1174078,2576284,2701074,2638679
2021-04-26,3839420,3908524,3873972,1172283,1241387,1206835,2603550,2741758,2672654
2021-04-27,3896376,3963743,3930060,1203237,1270604,1236920,2631276,2766010,2698643
2021-04-28,3956770,4017626,3987198,1233587,1294443,1264015,2667720,2789432,2728576
2021-04-29,4013790,4089038,4051414,1252027,1327275,1289651,2692213,2842709,2767461
2021-04-30,4067034,4157239,4112136,1272651,1362856,1317754,2709853,2890263,2800058
2021-05-01,4126612,4229744,4178178,1297227,1400359,1348793,2732393,2938657,2835525
2021-05-02,4176148,4301888,4239018,1311806,1437546,1374676,2744208,2995688,2869948
2021-05-03,4262381,4386579,4324480,1328771,1452969,1390870,2815592,3063988,2939790
2021-05-04,4312249,4469306,4390778,1342348,1499405,1420876,2818794,3132908,2975851
2021-05-05,4364769,4569112,4466940,1357835,1562178,1460006,2809556,3218242,3013899
2021-05-06,4411016,4665725,4538370,1374871,1629580,1502226,2788422,3297840,3043131
2021-05-07,4459227,4759182,4609204,1398096,1698051,1548074,2768330,3368240,3068285
2021-05-08,4506592,4853109,4679850,1418847,1765364,1592106,2748291,3441325,3094808
2021-05-09,4594468,4918994,4756731,1461342,1785868,1623605,2815308,3464360,3139834
2021-05-10,4694528,4992327,4843428,1504607,1802406,1653506,2895879,3491477,3193678
2021-05-11,4810571,5064524,4937548,1563035,1816988,1690012,2997575,3505481,3251528
2021-05-12,4937898,5172803,5055350,1603494,1838399,1720946,3104028,3573838,3338933
2021-05-13,5050637,5276110,5163374,1643196,1868669,1755932,3186362,3637308,3411835
2021-05-14,5149038,5372691,5260864,1681117,1904770,1792944,3248409,3695715,3472062
2021-05-15,5253833,5477167,5365500,1720169,1943503,1831836,3314717,3761385,3538051
2021-05-16,5326081,5590640,5458360,1741628,2006187,1873908,3324047,3853165,3588606
2021-05-17,5426719,5702205,5564462,1776531,2052017,1914274,3377398,3928370,3652884
2021-05-18,5509103,5820340,5664722,1807553,2118790,1963172,3393005,4015479,3704242
2021-05-19,5570051,5916281,5743166,1855011,2201241,2028126,3371402,4063862,3717632
2021-05-20,5626272,6003387,5814830,1906924,2284039,2095482,3344745,4098975,3721860
2021-05-21,5686726,6089964,5888345,1959005,2362243,2160624,3326986,4133462,3730224
2021-05-22,5762965,6169162,5966064,2016837,2423034,2219936,3342405,4154799,3748602
2021-05-23,5837855,6247378,6042616,2072548,2482071,2277310,3358203,4177249,3767726
2021-05-24,5871078,6268139,6069608,2136290,2533351,2334820,3342273,4136395,3739334
2021-05-25,5894877,6278830,6086854,2222650,2606603,2414626,3293675,4061581,3677628
2021-05-26,5993210,6383270,6188240,2315390,2705450,2510420,3298344,4078464,3688404
2021-05-27,6038204,6454753,6246478,2360673,2777222,2568948,3268001,4101099,3684550
2021-05-28,6104768,6514162,6309465,2421842,2831236,2626539,3280382,4099170,3689776
2021-05-29,6176264,6574888,6375576,2485937,2884561,2685249,3298752,4096000,3697376
2021-05-30,6241517,6632615,6437066,2546991,2938089,2742540,3310190,4092386,3701288
2021-05-31,6330327,6698189,6514258,2616598,2984460,2800529,3361198,4096922,3729060
