date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated
2021-01-06,3836,3836,3836,0,0,0,3836,3836,3836
2021-01-07,10223,10223,10223,0,0,0,10223,10223,10223
2021-01-08,17998,17998,17998,0,0,0,17998,17998,17998
2021-01-09,25763,25763,25763,0,0,0,25763,25763,25763
2021-01-10,33757,33757,33757,0,0,0,33757,33757,33757
2021-01-11,43349,43349,43349,0,0,0,43349,43349,43349
2021-01-12,50395,50395,50395,0,0,0,50395,50395,50395
2021-01-13,56054,56054,56054,0,0,0,56054,56054,56054
2021-01-14,61709,61709,61709,0,0,0,61709,61709,61709
2021-01-15,67135,67135,67135,0,0,0,67135,67135,67135
2021-01-16,72098,72098,72098,0,0,0,72098,72098,72098
2021-01-17,77062,77062,77062,0,0,0,77062,77062,77062
2021-01-18,92711,92711,92711,0,0,0,92711,92711,92711
2021-01-19,108361,108361,108361,0,0,0,108361,108361,108361
2021-01-20,124009,124009,124009,0,0,0,124009,124009,124009
2021-01-21,139654,139654,139654,0,0,0,139654,139654,139654
2021-01-22,156150,156150,156150,0,0,0,156150,156150,156150
2021-01-23,169183,169183,169183,0,0,0,169183,169183,169183
2021-01-24,182214,182214,182214,0,0,0,182214,182214,182214
2021-01-25,196628,200464,198546,0,0,0,192792,200464,196628
2021-01-26,211965,222188,217076,0,10223,5112,201742,222188,211965
2021-01-27,232786,250784,241785,0,17998,8999,214788,250784,232786
2021-01-28,257558,283321,270440,0,25763,12882,231795,283321,257558
2021-01-29,286239,319996,303118,0,33757,16878,252482,319996,286239
2021-01-30,286389,324429,305409,0,38040,19020,248349,324429,286389
2021-01-31,302198,348757,325478,3836,50395,27116,251803,344921,298362
2021-02-01,331010,376841,353926,10223,56054,33138,274956,366618,320787
2021-02-02,359989,403700,381844,17998,61709,39854,298280,385702,341991
2021-02-03,387382,428754,408068,25763,67135,46449,320247,402991,361619
2021-02-04,417023,455364,436194,33757,72098,52928,344925,421607,383266
2021-02-05,445345,479058,462202,43349,77062,60206,368283,435709,401996
2021-02-06,457884,499750,478817,50395,92261,71328,365623,449355,407489
2021-02-07,466343,517750,492046,56054,107461,81758,358882,461696,410289
2021-02-08,499494,545246,522370,61709,107461,84585,392033,483537,437785
2021-02-09,531797,572123,551960,67135,107461,87298,424336,504988,464662
2021-02-10,548587,599148,573868,72098,122659,97378,425928,527050,476489
2021-02-11,565342,626134,595738,77062,137854,107458,427488,549072,488280
2021-02-12,581269,642883,612076,92261,153875,123068,427394,550622,489008
2021-02-13,596637,656159,626398,107461,166983,137222,429654,548698,489176
2021-02-14,612004,684632,648318,107461,180089,143775,431915,577171,504543
2021-02-15,629418,716289,672854,107461,194332,150896,435086,608828,521957
2021-02-16,646026,747945,696986,107461,209380,158420,436646,640484,538565
2021-02-17,661125,783367,722246,107461,229703,168582,431422,675906,553664
2021-02-18,673852,820134,746993,107461,253743,180602,420109,712673,566391
2021-02-19,686705,859194,772950,107461,279950,193706,406755,751733,579244
2021-02-20,722611,882124,802368,122659,282172,202416,440439,759465,599952
2021-02-21,745145,905053,825099,137854,297762,217808,447383,767199,607291
2021-02-22,758697,926887,842792,153875,322065,237970,436632,773012,604822
2021-02-23,774374,957521,865948,166983,350130,258556,424244,790538,607391
2021-02-24,792555,995051,893803,180089,382585,281337,409970,814962,612466
2021-02-25,816265,1030446,923356,198168,412349,305258,403916,832278,618097
2021-02-26,873282,1066986,970134,219603,413307,316455,459975,847383,653679
2021-02-27,925318,1091862,1008590,247701,414245,330973,511073,844161,677617
2021-02-28,973483,1110330,1041906,278341,415188,346764,558295,831989,695142
2021-03-01,1017922,1124439,1071180,309564,416081,362822,601841,814875,708358
2021-03-02,1063421,1160232,1111826,320212,417023,368618,646398,840020,743209
2021-03-03,1107215,1180823,1144019,344321,417929,381125,689286,836502,762894
2021-03-04,1150604,1196848,1173726,372440,418684,395562,731920,824408,778164
2021-03-05,1164954,1212235,1188594,399463,446744,423104,718210,812772,765491
2021-03-06,1190633,1225260,1207946,424872,459499,442186,731134,800388,765761
2021-03-07,1216307,1236112,1226210,448455,468260,458358,748047,787657,767852
2021-03-08,1232708,1274218,1253463,451648,493158,472403,739550,822570,781060
2021-03-09,1249382,1315227,1282304,452586,518431,485508,730951,862641,796796
2021-03-10,1275367,1356286,1315826,453529,534448,493988,740919,902757,821838
2021-03-11,1316927,1397337,1357132,454422,534832,494627,782095,942915,862505
2021-03-12,1356299,1436151,1396225,455364,535216,495290,821083,980787,900935
2021-03-13,1394471,1474994,1434732,456270,536793,496532,857678,1018724,938201
2021-03-14,1432621,1513966,1473294,457025,538370,497698,894251,1056941,975596
2021-03-15,1445489,1543759,1494624,457669,555939,506804,889550,1086090,987820
2021-03-16,1458406,1573426,1515916,458640,573660,516150,884746,1114786,999766
2021-03-17,1472226,1580552,1526389,482374,590700,536537,881526,1098178,989852
2021-03-18,1486239,1590427,1538333,503248,607436,555342,878803,1087179,982991
2021-03-19,1500034,1602547,1551290,521540,624053,572796,875981,1081007,978494
2021-03-20,1529287,1605573,1567430,548921,625207,587064,904080,1056652,980366
2021-03-21,1558341,1609291,1583816,575608,626558,601083,931783,1033683,982733
2021-03-22,1587220,1622451,1604836,592924,628155,610540,959065,1029527,994296
2021-03-23,1611330,1636085,1623708,613397,638152,625774,973178,1022688,997933
2021-03-24,1648828,1655242,1652035,640374,646788,643581,1002040,1014868,1008454
2021-03-25,1678829,1689283,1684056,652404,662858,657631,1015971,1036879,1026425
2021-03-26,1698448,1734667,1716558,654871,691090,672980,1007358,1079796,1043577
2021-03-27,1741087,1779546,1760316,656825,695284,676054,1045803,1122721,1084262
2021-03-28,1785476,1800787,1793132,682414,697725,690070,1087751,1118373,1103062
2021-03-29,1846485,1851974,1849230,694677,700166,697422,1146319,1157297,1151808
2021-03-30,1890771,1917306,1904038,696694,723229,709962,1167542,1220612,1194077
2021-03-31,1940854,1988313,1964584,698713,746172,722442,1194682,1289600,1242141
2021-04-01,1987886,2059723,2023804,700156,771993,736074,1215893,1359567,1287730
2021-04-02,2036088,2130237,2083162,704714,798863,751788,1237225,1425523,1331374
2021-04-03,2058479,2146770,2102624,739211,827502,783356,1230977,1407559,1319268
2021-04-04,2095390,2162684,2129037,772727,840021,806374,1255369,1389957,1322663
2021-04-05,2138285,2186944,2162614,803764,852423,828094,1285862,1383180,1334521
2021-04-06,2211525,2231636,2221580,842093,862204,852148,1349321,1389543,1369432
2021-04-07,2288924,2291776,2290350,875947,878799,877373,1410125,1415829,1412977
2021-04-08,2362326,2370330,2366328,899418,907422,903420,1454904,1470912,1462908
2021-04-09,2438444,2460418,2449431,916544,938518,927531,1499926,1543874,1521900
2021-04-10,2538084,2546253,2542168,932845,941014,936930,1597070,1613408,1605239
2021-04-11,2623764,2640997,2632380,939036,956269,947652,1667495,1701961,1684728
2021-04-12,2728150,2759747,2743948,941048,972645,956846,1755505,1818699,1787102
2021-04-13,2847751,2878623,2863187,942827,973699,958263,1874052,1935796,1904924
2021-04-14,2966856,2975451,2971154,966245,974840,970542,1992016,2009206,2000611
2021-04-15,3073272,3083954,3078613,975134,985816,980475,2087456,2108820,2098138
2021-04-16,3162064,3193791,3177928,979915,1011642,995778,2150422,2213876,2182149
2021-04-17,3246629,3299353,3272991,984552,1037276,1010914,2209353,2314801,2262077
2021-04-18,3329782,3403654,3366718,988273,1062145,1025209,2267637,2415381,2341509
2021-04-19,3414003,3513052,3463528,991662,1090711,1041186,2323292,2521390,2422341
2021-04-20,3505059,3596335,3550697,1017045,1108321,1062683,2396738,2579290,2488014
2021-04-21,3584403,3666283,3625343,1044581,1126461,1085521,2457942,2621702,2539822
2021-04-22,3655281,3728359,3691820,1072169,1145247,1108708,2510034,2656190,2583112
2021-04-23,3725316,3789506,3757411,1099707,1163897,1131802,2561419,2689799,2625609
2021-04-24,3796116,3851914,3824015,1125945,1181743,1153844,2614373,2725969,2670171
2021-04-25,3851550,3914105,3882828,1152175,1214730,1183452,2636820,2761930,2699375
2021-04-26,3917346,3986600,3951973,1182941,1252195,1217568,2665151,2803659,2734405
2021-04-27,3985383,4053015,4019199,1219551,1287183,1253367,2698200,2833464,2765832
2021-04-28,4056823,4118089,4087456,1255539,1316805,1286172,2740018,2862550,2801284
2021-04-29,4124791,4200570,4162680,1279505,1355284,1317394,2769507,2921065,2845286
2021-04-30,4189288,4280157,4234722,1305948,1396817,1351382,2792471,2974209,2883340
2021-05-01,4260192,4364022,4312107,1336305,1440135,1388220,2820057,3027717,2923887
2021-05-02,4321475,4448005,4384740,1357138,1483668,1420403,2837807,3090867,2964337
2021-05-03,4416379,4541440,4478910,1379646,1504707,1442176,2911672,3161794,3036733
2021-05-04,4475178,4633439,4554308,1399395,1557656,1478526,2917522,3234044,3075783
2021-05-05,4536427,4742282,4639354,1420790,1626645,1523718,2909782,3321492,3115637
2021-05-06,4592411,4848922,4720666,1444773,1701284,1573028,2891127,3404149,3147638
2021-05-07,4650379,4952243,4801311,1475143,1777007,1626075,2873372,3477100,3175236
2021-05-08,4707760,5056386,4882073,1503028,1851654,1677341,2856106,3553358,3204732
2021-05-09,4805711,5132297,4969004,1552676,1879262,1715969,2926449,3579621,3253035
2021-05-10,4914364,5214217,5064290,1602708,1902561,1752634,3011803,3611509,3311656
