date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated
2021-01-06,3835,3835,3835,0,0,0,3835,3835,3835
2021-01-07,10221,10221,10221,0,0,0,10221,10221,10221
2021-01-08,17996,17996,17996,0,0,0,17996,17996,17996
2021-01-09,25760,25760,25760,0,0,0,25760,25760,25760
2021-01-10,33753,33753,33753,0,0,0,33753,33753,33753
2021-01-11,43344,43344,43344,0,0,0,43344,43344,43344
2021-01-12,50390,50390,50390,0,0,0,50390,50390,50390
2021-01-13,56048,56048,56048,0,0,0,56048,56048,56048
2021-01-14,61703,61703,61703,0,0,0,61703,61703,61703
2021-01-15,67128,67128,67128,0,0,0,67128,67128,67128
2021-01-16,72091,72091,72091,0,0,0,72091,72091,72091
2021-01-17,77054,77054,77054,0,0,0,77054,77054,77054
2021-01-18,92699,92699,92699,0,0,0,92699,92699,92699
2021-01-19,108344,108344,108344,0,0,0,108344,108344,108344
2021-01-20,123988,123988,123988,0,0,0,123988,123988,123988
2021-01-21,139629,139629,139629,0,0,0,139629,139629,139629
2021-01-22,156121,156121,156121,0,0,0,156121,156121,156121
2021-01-23,169149,169149,169149,0,0,0,169149,169149,169149
2021-01-24,182176,182176,182176,0,0,0,182176,182176,182176
2021-01-25,196531,200366,198448,0,0,0,192696,200366,196531
2021-01-26,211809,222030,216920,0,10221,5110,201588,222030,211809
2021-01-27,232570,250566,241568,0,17996,8998,214574,250566,232570
2021-01-28,257282,283042,270162,0,25760,12880,231522,283042,257282
2021-01-29,285904,319657,302780,0,33753,16876,252151,319657,285904
2021-01-30,286054,324082,305068,0,38028,19014,248026,324082,286054
2021-01-31,301800,348355,325078,3835,50390,27112,251410,344520,297965
2021-02-01,330602,376429,353516,10221,56048,33134,274554,366208,320381
2021-02-02,359570,403277,381424,17996,61703,39850,297867,385281,341574
2021-02-03,386953,428321,407637,25760,67128,46444,319825,402561,361193
2021-02-04,416582,454920,435751,33753,72091,52922,344491,421167,382829
2021-02-05,444894,478604,461749,43344,77054,60199,367840,435260,401550
2021-02-06,457424,499285,478354,50390,92251,71320,365173,448895,407034
2021-02-07,465875,517275,491575,56048,107448,81748,358427,461227,409827
2021-02-08,499007,544752,521880,61703,107448,84576,391559,483049,437304
2021-02-09,531292,571612,551452,67128,107448,87288,423844,504484,464164
2021-02-10,548066,598619,573342,72091,122644,97368,425422,526528,475975
2021-02-11,564803,625586,595194,77054,137837,107446,426966,548532,487749
2021-02-12,580712,642318,611515,92251,153857,123054,426855,550067,488461
2021-02-13,596067,655579,625823,107448,166960,137204,429107,548131,488619
2021-02-14,611420,684034,647727,107448,180062,143755,431358,576586,503972
2021-02-15,628842,715640,672241,107448,194246,150847,434596,608192,521394
2021-02-16,645457,747244,696350,107448,209235,158342,436222,639796,538009
2021-02-17,660565,782614,721590,107448,229497,168472,431068,675166,553117
2021-02-18,673303,819332,746318,107448,253477,180462,419826,711884,565855
2021-02-19,686095,858341,772218,107448,279694,193571,406401,750893,578647
2021-02-20,722022,881223,801622,122644,281845,202244,440177,758579,599378
2021-02-21,744567,904102,824334,137837,297372,217604,447195,766265,606730
2021-02-22,758053,925861,841957,153857,321665,237761,436388,772004,604196
2021-02-23,773658,956423,865040,166960,349725,258342,423933,789463,606698
2021-02-24,791761,993882,892822,180062,382183,281122,409578,813820,611699
2021-02-25,815414,1029262,922338,198081,411929,305005,403485,831181,617333
2021-02-26,872357,1065786,969072,219456,412885,316170,459472,846330,652901
2021-02-27,924322,1090647,1007484,247493,413818,330656,510504,843154,676829
2021-02-28,972416,1109038,1040727,278134,414756,346445,557660,830904,694282
2021-03-01,1016807,1123043,1069925,309409,415645,362527,601162,813634,707398
2021-03-02,1062261,1158970,1110616,319873,416582,368228,645679,839097,742388
2021-03-03,1106009,1179565,1142787,343927,417483,380705,688526,835638,762082
2021-03-04,1149351,1195546,1172448,372039,418234,395136,731117,823507,777312
2021-03-05,1163659,1210890,1187274,399054,446285,422670,717374,811836,764605
2021-03-06,1189299,1223872,1206586,424455,459028,441742,730271,799417,764844
2021-03-07,1214933,1234641,1224787,448071,467779,457925,747154,786570,766862
2021-03-08,1231233,1272585,1251909,451223,492575,471899,738658,821362,780010
2021-03-09,1247806,1313395,1280600,452156,517745,484950,730061,861239,795650
2021-03-10,1273433,1354254,1313844,453094,533915,493504,739518,901160,820339
2021-03-11,1314792,1395104,1354948,453983,534295,494139,780497,941121,860809
2021-03-12,1353964,1433719,1393842,454920,534675,494798,819289,978799,899044
2021-03-13,1391940,1472363,1432152,455821,536244,496032,855696,1016542,936119
2021-03-14,1429895,1511135,1470515,456572,537812,497192,892083,1054563,973323
2021-03-15,1442770,1540917,1491844,457212,555359,506286,887411,1083705,985558
2021-03-16,1455696,1570576,1513136,458176,573056,515616,882640,1112400,997520
2021-03-17,1469526,1577698,1523612,481899,590071,535985,879455,1095799,987627
2021-03-18,1483545,1587570,1535558,502760,606785,554772,876760,1084810,980785
2021-03-19,1497349,1599688,1548518,521039,623378,572208,873971,1078649,976310
2021-03-20,1526592,1602722,1564657,548397,624527,586462,902065,1054325,978195
2021-03-21,1555636,1606446,1581041,575063,625873,600468,929763,1031383,980573
2021-03-22,1584391,1619588,1601990,592268,627465,609866,956926,1027320,992123
2021-03-23,1608321,1633214,1620768,612622,637515,625068,970806,1020592,995699
2021-03-24,1645634,1652376,1649005,639464,646206,642835,999428,1012912,1006170
2021-03-25,1675567,1685898,1680732,651885,662216,657050,1013351,1034013,1023682
2021-03-26,1695192,1731086,1713139,654418,690312,672365,1004880,1076668,1040774
2021-03-27,1737605,1775847,1756726,656361,694603,675482,1043002,1119486,1081244
2021-03-28,1781876,1796888,1789382,682021,697033,689527,1084843,1114867,1099855
2021-03-29,1842335,1847451,1844893,694346,699462,696904,1142873,1153105,1147989
2021-03-30,1886062,1912230,1899146,696353,722521,709437,1163541,1215877,1189709
2021-03-31,1935585,1982685,1959135,698362,745462,721912,1190123,1284323,1237223
2021-04-01,1982055,2053541,2017798,699799,771285,735542,1210770,1353742,1282256
2021-04-02,2029690,2123472,2076581,704378,798160,751269,1231530,1419094,1325312
2021-04-03,2051512,2139918,2095715,738400,826806,782603,1224706,1401518,1313112
2021-04-04,2087853,2155741,2121797,771446,839334,805390,1248519,1384295,1316407
2021-04-05,2129707,2179753,2154730,801697,851743,826720,1277964,1378056,1328010
2021-04-06,2201933,2221629,2211781,841808,861504,851656,1340429,1379821,1360125
2021-04-07,2278311,2280687,2279499,875711,878087,876899,1400224,1404976,1402600
2021-04-08,2350154,2358688,2354421,898701,907235,902968,1442919,1459987,1451453
2021-04-09,2425188,2447687,2436438,915881,938380,927130,1486808,1531806,1509307
2021-04-10,2523731,2532429,2528080,932240,940938,936589,1582793,1600189,1591491
2021-04-11,2608321,2626084,2617202,938485,956248,947366,1652073,1687599,1669836
2021-04-12,2710059,2742244,2726152,940486,972671,956578,1737388,1801758,1769573
2021-04-13,2827051,2858530,2842790,942255,973734,957994,1853317,1916275,1884796
2021-04-14,2943545,2952525,2948035,965905,974885,970395,1968660,1986620,1977640
2021-04-15,3047612,3058330,3052971,974892,985610,980251,2062002,2083438,2072720
2021-04-16,3133896,3165518,3149707,979722,1011344,995533,2122552,2185796,2154174
2021-04-17,3215961,3268432,3242196,984407,1036878,1010642,2179083,2284025,2231554
2021-04-18,3296609,3370093,3333351,988168,1061652,1024910,2234957,2381925,2308441
2021-04-19,3376447,3475022,3425734,991534,1090109,1040822,2287834,2484984,2386409
2021-04-20,3461609,3552384,3506996,1015351,1106126,1060738,2356922,2538472,2447697
2021-04-21,3535117,3616507,3575812,1041338,1122728,1082033,2413674,2576454,2495064
2021-04-22,3600300,3672991,3636646,1067446,1140137,1103792,2461339,2606721,2534030
2021-04-23,3664754,3728654,3696704,1093614,1157514,1125564,2508403,2636203,2572303
2021-04-24,3729997,3785588,3757792,1118495,1174086,1146290,2557073,2668255,2612664
2021-04-25,3779878,3842306,3811092,1143370,1205798,1174584,2575239,2700095,2637667
2021-04-26,3838411,3908109,3873260,1168465,1238163,1203314,2601536,2740932,2671234
2021-04-27,3907494,3967619,3937556,1199369,1259494,1229432,2649285,2769535,2709410
2021-04-28,3980067,4025784,4002926,1229741,1275458,1252600,2705868,2797302,2751585
2021-04-29,4051343,4110000,4080672,1239277,1297934,1268606,2754739,2872053,2813396
