date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated
2021-01-03,0,0,0,0,0,0,0,0,0
2021-01-04,4823,4823,4823,0,0,0,4823,4823,4823
2021-01-05,9645,9645,9645,0,0,0,9645,9645,9645
2021-01-06,14468,14468,14468,0,0,0,14468,14468,14468
2021-01-07,19290,19290,19290,0,0,0,19290,19290,19290
2021-01-08,24113,24113,24113,0,0,0,24113,24113,24113
2021-01-09,28935,28935,28935,0,0,0,28935,28935,28935
2021-01-10,33758,33758,33758,0,0,0,33758,33758,33758
2021-01-11,39930,39930,39930,0,0,0,39930,39930,39930
2021-01-12,46102,46102,46102,0,0,0,46102,46102,46102
2021-01-13,52274,52274,52274,0,0,0,52274,52274,52274
2021-01-14,58445,58445,58445,0,0,0,58445,58445,58445
2021-01-15,64617,64617,64617,0,0,0,64617,64617,64617
2021-01-16,70789,70789,70789,0,0,0,70789,70789,70789
2021-01-17,76961,76961,76961,0,0,0,76961,76961,76961
2021-01-18,89725,89725,89725,0,0,0,89725,89725,89725
2021-01-19,102488,102488,102488,0,0,0,102488,102488,102488
2021-01-20,115252,115252,115252,0,0,0,115252,115252,115252
2021-01-21,128016,128016,128016,0,0,0,128016,128016,128016
2021-01-22,140780,140780,140780,0,0,0,140780,140780,140780
2021-01-23,148720,153543,151132,0,0,0,143897,153543,148720
2021-01-24,156662,166307,161484,0,0,0,147017,166307,156662
2021-01-25,178265,192733,185499,0,0,0,163797,192733,178265
2021-01-26,199868,219158,209513,0,19290,9645,180578,219158,199868
2021-01-27,221471,245584,233528,0,24113,12056,197358,245584,221471
2021-01-28,243074,272009,257542,0,28935,14468,214139,272009,243074
2021-01-29,264677,293612,279144,4823,33758,19290,230919,288789,259854
2021-01-30,284930,315215,300072,9645,39930,24788,245000,305570,275285
2021-01-31,305184,336818,321001,14468,46102,30285,259082,322350,290716
2021-02-01,330429,363413,346921,19290,52274,35782,278155,344123,311139
2021-02-02,355675,390007,372841,24113,58445,41279,297230,365894,331562
2021-02-03,380920,416602,398761,28935,64617,46776,316303,387667,351985
2021-02-04,406164,443195,424680,33758,70789,52274,335375,409437,372406
2021-02-05,431409,468440,449924,39930,76961,58446,354448,428510,391479
2021-02-06,450429,493685,472057,46102,89358,67730,361071,447583,404327
2021-02-07,469450,518930,494190,52274,101754,77014,367696,466656,417176
2021-02-08,500414,543723,522068,58445,101754,80100,398660,485278,441969
2021-02-09,531377,568514,549946,64617,101754,83186,429623,503897,466760
2021-02-10,549944,593306,571625,70789,114151,92470,435793,522517,479155
2021-02-11,568510,618097,593304,76961,126548,101754,441962,541136,491549
2021-02-12,587077,636664,611870,89358,138945,114152,448132,547306,497719
2021-02-13,610100,655231,632666,101754,146885,124320,463215,553477,508346
2021-02-14,633122,686195,659658,101754,154827,128290,478295,584441,531368
2021-02-15,647736,721878,684807,101754,175896,138825,471840,620124,545982
2021-02-16,662352,757563,709958,101754,196965,149360,465387,655809,560598
2021-02-17,676966,793246,735106,101754,218034,159894,458932,691492,575212
2021-02-18,691580,828929,760254,101754,239103,170428,452477,727175,589826
2021-02-19,706194,864612,785403,101754,260172,180963,446022,762858,604440
2021-02-20,721626,887900,804763,114151,280425,197288,441201,773749,607475
2021-02-21,737055,911186,824120,126548,300679,213614,436376,784638,610507
2021-02-22,760994,948019,854506,138945,325970,232458,435024,809074,622049
2021-02-23,784932,984486,884709,151708,351262,251485,433670,832778,633224
2021-02-24,808871,1020952,914912,164472,376553,270512,432318,856480,644399
2021-02-25,832810,1044289,938550,190364,401843,296104,430967,853925,642446
2021-02-26,881139,1067628,974384,216255,402744,309500,478395,851373,664884
2021-02-27,929514,1090966,1010240,242147,403599,322873,525915,848819,687367
2021-02-28,977889,1114305,1046097,268038,404454,336246,573435,846267,709851
2021-03-01,1019042,1135244,1077143,289107,405309,347208,613733,846137,729935
2021-03-02,1060195,1155649,1107922,310710,406164,358437,654031,844939,749485
2021-03-03,1101348,1176054,1138701,332313,407019,369666,694329,843741,769035
2021-03-04,1142501,1191421,1166961,358954,407874,383414,734627,832467,783547
2021-03-05,1159264,1206789,1183026,385594,433119,409356,726145,821195,773670
2021-03-06,1182200,1222156,1202178,412235,452191,432213,730009,809921,769965
2021-03-07,1205135,1237525,1221330,438874,471264,455069,733871,798651,766261
2021-03-08,1221320,1277351,1249336,439775,495806,467790,725514,837576,781545
2021-03-09,1237505,1317223,1277364,440630,520348,480489,717157,876593,796875
2021-03-10,1264630,1357095,1310862,441485,533950,487718,730680,915610,823145
2021-03-11,1304816,1396966,1350891,442340,534490,488415,770326,954626,862476
2021-03-12,1345003,1436838,1390920,443195,535030,489112,809973,993643,901808
2021-03-13,1383813,1476710,1430262,444050,536947,490498,846866,1032660,939763
2021-03-14,1422623,1516582,1469602,444905,538864,491884,883759,1071677,977718
2021-03-15,1433752,1546359,1490056,445760,558367,502064,875385,1100599,987992
2021-03-16,1444882,1576084,1510483,446667,577869,512268,867013,1129417,998215
2021-03-17,1456011,1581419,1518715,471964,597372,534668,858639,1109455,984047
2021-03-18,1462850,1586753,1524802,497261,621164,559212,841686,1089492,965589
2021-03-19,1469691,1592088,1530890,522558,644955,583756,824736,1069530,947133
2021-03-20,1498458,1598001,1548230,547277,646820,597048,851638,1050724,951181
2021-03-21,1527225,1603916,1565570,571994,648685,610340,878540,1031922,955231
2021-03-22,1567931,1622552,1595242,595929,650550,623240,917381,1026623,972002
2021-03-23,1605738,1639810,1622774,621241,655313,638277,950425,1018569,984497
