date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated
2021-01-06,44,44,44,0,0,0,44,44,44
2021-01-07,15128,15128,15128,0,0,0,15128,15128,15128
2021-01-08,27022,27022,27022,0,0,0,27022,27022,27022
2021-01-09,32018,32018,32018,0,0,0,32018,32018,32018
2021-01-10,33934,33934,33934,0,0,0,33934,33934,33934
2021-01-11,42726,42726,42726,0,0,0,42726,42726,42726
2021-01-12,45087,45087,45087,0,0,0,45087,45087,45087
2021-01-13,47006,47006,47006,0,0,0,47006,47006,47006
2021-01-14,49487,49487,49487,0,0,0,49487,49487,49487
2021-01-15,58332,58332,58332,0,0,0,58332,58332,58332
2021-01-16,67447,67447,67447,0,0,0,67447,67447,67447
2021-01-17,77807,77807,77807,0,0,0,77807,77807,77807
2021-01-18,95827,95827,95827,0,0,0,95827,95827,95827
2021-01-19,112634,112634,112634,0,0,0,112634,112634,112634
2021-01-20,136974,136974,136974,0,0,0,136974,136974,136974
2021-01-21,158853,158853,158853,0,0,0,158853,158853,158853
2021-01-22,185748,185748,185748,0,0,0,185748,185748,185748
2021-01-23,193901,193901,193901,0,0,0,193901,193901,193901
2021-01-24,212452,212452,212452,0,0,0,212452,212452,212452
2021-01-25,228801,228845,228823,0,0,0,228757,228845,228801
2021-01-26,232335,247463,239899,0,15128,7564,217207,247463,232335
2021-01-27,245435,272457,258946,0,27022,13511,218413,272457,245435
2021-01-28,259387,291405,275396,0,32018,16009,227369,291405,259387
2021-01-29,275171,309105,292138,0,33934,16967,241237,309105,275171
2021-01-30,280186,322912,301549,0,42726,21363,237460,322912,280186
2021-01-31,298787,343830,321308,44,45087,22566,253700,343786,298743
2021-02-01,328894,360772,344833,15128,47006,31067,281888,345644,313766
2021-02-02,366597,389062,377830,27022,49487,38254,317110,362040,339575
2021-02-03,396656,422970,409813,32018,58332,45175,338324,390952,364638
2021-02-04,428077,461590,444834,33934,67447,50690,360630,427656,394143
2021-02-05,454898,489979,472438,42726,77807,60266,377091,447253,412172
2021-02-06,473023,523763,498393,45087,95827,70457,377196,478676,427936
2021-02-07,473101,524341,498721,47006,98246,72626,374855,477335,426095
2021-02-08,483285,546432,514858,49487,112634,81060,370651,496945,433798
2021-02-09,513496,567798,540647,58332,112634,85483,400862,509466,455164
2021-02-10,523293,592820,558056,67447,136974,102210,386319,525373,455846
2021-02-11,536017,617063,576540,77807,158853,118330,377164,539256,458210
2021-02-12,539408,629329,584368,95827,185748,140788,353660,533502,443581
2021-02-13,560444,641711,601078,112634,193901,153268,366543,529077,447810
2021-02-14,571133,670951,621042,112634,212452,162543,358681,558317,458499
2021-02-15,578719,688249,633484,112634,222164,167399,356555,575615,466085
2021-02-16,605928,723271,664600,112634,229977,171306,375951,610637,493294
2021-02-17,633539,762299,697919,112634,241394,177014,392145,649665,520905
2021-02-18,661615,803051,732333,112634,254070,183352,407545,690417,548981
2021-02-19,689754,845782,767768,112634,268662,190648,421092,733148,577120
2021-02-20,713553,874770,794162,112634,273851,193242,439702,762136,600919
2021-02-21,724075,901623,812849,112634,290182,201408,433893,788989,611441
2021-02-22,742751,950203,846477,112634,320086,216360,422665,837569,630117
2021-02-23,761844,999866,880855,112634,350656,231645,411188,887232,649210
2021-02-24,783667,1032291,907979,136974,385598,261286,398069,895317,646693
2021-02-25,818012,1077301,947656,158853,418142,288498,399870,918448,659159
2021-02-26,841612,1099955,970784,185748,444091,314920,397521,914207,655864
2021-02-27,857688,1125067,991378,193901,461280,327590,396408,931166,663787
2021-02-28,875245,1131961,1003603,204668,461384,333026,413861,927293,670577
2021-03-01,908440,1151872,1030156,227741,471173,349457,437267,924131,680699
2021-03-02,925995,1179902,1052948,245374,499281,372328,426714,934528,680621
2021-03-03,969456,1201627,1085542,268952,501123,385038,468333,932675,700504
2021-03-04,1025514,1240013,1132764,286956,501455,394206,524059,953057,738558
2021-03-05,1069556,1267547,1168552,303725,501716,402720,567840,963822,765831
2021-03-06,1094346,1279460,1186903,316748,501862,409305,592484,962712,777598
2021-03-07,1118038,1288622,1203330,331418,502002,416710,616036,957204,786620
2021-03-08,1153979,1303648,1228814,352546,502215,427380,651764,951102,801433
2021-03-09,1193994,1319123,1256558,377323,502452,439888,691542,941800,816671
