date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated
2021-01-23,0,0,0,0,0,0,0,0,0
2021-01-24,176664,176664,176664,0,0,0,176664,176664,176664
2021-01-25,188189,188189,188189,0,0,0,188189,188189,188189
2021-01-26,201726,201726,201726,0,0,0,201726,201726,201726
2021-01-27,221639,221639,221639,0,0,0,221639,221639,221639
2021-01-28,235506,235506,235506,0,0,0,235506,235506,235506
2021-01-29,248125,248125,248125,0,0,0,248125,248125,248125
2021-01-30,308735,308735,308735,0,0,0,308735,308735,308735
2021-01-31,369346,369346,369346,0,0,0,369346,369346,369346
2021-02-01,375907,375907,375907,0,0,0,375907,375907,375907
2021-02-02,416092,416092,416092,0,0,0,416092,416092,416092
2021-02-03,454997,454997,454997,0,0,0,454997,454997,454997
2021-02-04,495534,495534,495534,0,0,0,495534,495534,495534
2021-02-05,532716,532716,532716,0,0,0,532716,532716,532716
2021-02-06,568862,568862,568862,0,0,0,568862,568862,568862
2021-02-07,571360,571360,571360,0,0,0,571360,571360,571360
2021-02-08,595933,595933,595933,0,0,0,595933,595933,595933
2021-02-09,626145,626145,626145,0,0,0,626145,626145,626145
2021-02-10,660283,660283,660283,0,0,0,660283,660283,660283
2021-02-11,694887,694887,694887,0,0,0,694887,694887,694887
2021-02-12,695869,725174,710522,0,29305,14652,666564,725174,695869
2021-02-13,696815,754364,725590,0,57549,28774,639266,754364,696815
2021-02-14,720339,783605,751972,0,63266,31633,657073,783605,720339
2021-02-15,720900,800904,760902,0,80004,40002,640896,800904,720900
2021-02-16,740294,835928,788111,0,95634,47817,644660,835928,740294
2021-02-17,767291,874958,821124,0,107667,53834,659624,874958,767291
2021-02-18,768613,876280,822446,39432,147099,93266,621514,836848,729181
2021-02-19,769998,877665,823832,80779,188446,134612,581552,796886,689219
