date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated
2021-01-03,0,0,0,0,0,0,0,0,0
2021-01-04,4823,4823,4823,0,0,0,4823,4823,4823
2021-01-05,9645,9645,9645,0,0,0,9645,9645,9645
2021-01-06,14468,14468,14468,0,0,0,14468,14468,14468
2021-01-07,19290,19290,19290,0,0,0,19290,19290,19290
2021-01-08,24113,24113,24113,0,0,0,24113,24113,24113
2021-01-09,28935,28935,28935,0,0,0,28935,28935,28935
2021-01-10,33758,33758,33758,0,0,0,33758,33758,33758
2021-01-11,39930,39930,39930,0,0,0,39930,39930,39930
2021-01-12,46102,46102,46102,0,0,0,46102,46102,46102
2021-01-13,52274,52274,52274,0,0,0,52274,52274,52274
2021-01-14,58445,58445,58445,0,0,0,58445,58445,58445
2021-01-15,64617,64617,64617,0,0,0,64617,64617,64617
2021-01-16,70789,70789,70789,0,0,0,70789,70789,70789
2021-01-17,76961,76961,76961,0,0,0,76961,76961,76961
2021-01-18,89725,89725,89725,0,0,0,89725,89725,89725
2021-01-19,102488,102488,102488,0,0,0,102488,102488,102488
2021-01-20,115252,115252,115252,0,0,0,115252,115252,115252
2021-01-21,128015,128015,128015,0,0,0,128015,128015,128015
2021-01-22,140779,140779,140779,0,0,0,140779,140779,140779
2021-01-23,148719,153542,151130,0,0,0,143896,153542,148719
2021-01-24,156661,166306,161484,0,0,0,147016,166306,156661
2021-01-25,178263,192731,185497,0,0,0,163795,192731,178263
2021-01-26,199867,219157,209512,0,19290,9645,180577,219157,199867
2021-01-27,221469,245582,233526,0,24113,12056,197356,245582,221469
2021-01-28,243073,272008,257540,0,28935,14468,214138,272008,243073
2021-01-29,264675,293610,279142,4823,33758,19290,230917,288787,259852
2021-01-30,284929,315214,300072,9645,39930,24788,244999,305569,275284
2021-01-31,305182,336816,320999,14468,46102,30285,259080,322348,290714
2021-02-01,330427,363411,346919,19290,52274,35782,278153,344121,311137
2021-02-02,355673,390005,372839,24113,58445,41279,297228,365892,331560
2021-02-03,380918,416600,398759,28935,64617,46776,316301,387665,351983
2021-02-04,406164,443195,424680,33758,70789,52274,335375,409437,372406
2021-02-05,431409,468440,449924,39930,76961,58446,354448,428510,391479
2021-02-06,450429,493685,472057,46102,89358,67730,361071,447583,404327
2021-02-07,469450,518930,494190,52274,101754,77014,367696,466656,417176
2021-02-08,500413,543722,522068,58445,101754,80100,398659,485277,441968
2021-02-09,531377,568514,549946,64617,101754,83186,429623,503897,466760
2021-02-10,549943,593305,571624,70789,114151,92470,435792,522516,479154
2021-02-11,568511,618097,593304,76961,126547,101754,441964,541136,491550
2021-02-12,587077,636663,611870,89358,138944,114151,448133,547305,497719
2021-02-13,610101,655231,632666,101754,146884,124319,463217,553477,508347
2021-02-14,633122,686194,659658,101754,154826,128290,478296,584440,531368
2021-02-15,647737,721877,684807,101754,175894,138824,471843,620123,545983
2021-02-16,662352,757562,709957,101754,196964,149359,465388,655808,560598
2021-02-17,676967,793245,735106,101754,218032,159893,458935,691491,575213
2021-02-18,691580,828928,760254,101754,239102,170428,452478,727174,589826
2021-02-19,706195,864611,785403,101754,260170,180962,446025,762857,604441
2021-02-20,721626,887899,804762,114151,280424,197288,441202,773748,607475
2021-02-21,737056,911186,824121,126547,300677,213612,436379,784639,610509
2021-02-22,760994,948018,854506,138944,325968,232456,435026,809074,622050
2021-02-23,784932,984485,884708,151707,351260,251484,433672,832778,633225
2021-02-24,808870,1020950,914910,164471,376551,270511,432319,856479,644399
2021-02-25,832808,1044289,938548,190362,401843,296102,430965,853927,642446
2021-02-26,881136,1067626,974381,216254,402744,309499,478392,851372,664882
2021-02-27,929511,1090965,1010238,242145,403599,322872,525912,848820,687366
2021-02-28,977885,1114302,1046094,268037,404454,336246,573431,846265,709848
2021-03-01,1019041,1135245,1077143,289105,405309,347207,613732,846140,729936
2021-03-02,1060196,1155651,1107924,310709,406164,358436,654032,844942,749487
2021-03-03,1101352,1176060,1138706,332311,407019,369665,694333,843749,769041
2021-03-04,1142507,1191429,1166968,358952,407874,383413,734633,832477,783555
2021-03-05,1159273,1206800,1183036,385592,433119,409356,726154,821208,773681
2021-03-06,1182211,1222169,1202190,412233,452191,432212,730020,809936,769978
2021-03-07,1205149,1237539,1221344,438874,471264,455069,733885,798665,766275
2021-03-08,1221334,1277365,1249350,439775,495806,467790,725528,837590,781559
2021-03-09,1237520,1317238,1277379,440630,520348,480489,717172,876608,796890
2021-03-10,1264645,1357110,1310878,441485,533950,487718,730695,915625,823160
2021-03-11,1304833,1396983,1350908,442340,534490,488415,770343,954643,862493
2021-03-12,1345020,1436855,1390938,443195,535030,489112,809990,993660,901825
2021-03-13,1383831,1476728,1430280,444050,536947,490498,846884,1032678,939781
2021-03-14,1422641,1516600,1469620,444905,538864,491884,883777,1071695,977736
2021-03-15,1433772,1546378,1490075,445760,558366,502063,875406,1100618,988012
2021-03-16,1444901,1576104,1510502,446667,577870,512268,867031,1129437,998234
2021-03-17,1456032,1581440,1518736,471964,597372,534668,858660,1109476,984068
2021-03-18,1462871,1586775,1524823,497261,621165,559213,841706,1089514,965610
2021-03-19,1469714,1592111,1530912,522558,644955,583756,824759,1069553,947156
2021-03-20,1498482,1598026,1548254,547276,646820,597048,851662,1050750,951206
2021-03-21,1527250,1603941,1565596,571994,648685,610340,878565,1031947,955256
2021-03-22,1567956,1622577,1595266,595929,650550,623240,917406,1026648,972027
2021-03-23,1605764,1639836,1622800,621242,655314,638278,950450,1018594,984522
