date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated,total_vaccinations
2021-01-03,0,0,0,0,0,0,0,0,0,0
2021-01-04,4822,4822,4822,0,0,0,4822,4822,4822,4822
2021-01-05,9644,9644,9644,0,0,0,9644,9644,9644,9644
2021-01-06,14466,14466,14466,0,0,0,14466,14466,14466,14466
2021-01-07,19287,19287,19287,0,0,0,19287,19287,19287,19287
2021-01-08,24109,24109,24109,0,0,0,24109,24109,24109,24109
2021-01-09,28931,28931,28931,0,0,0,28931,28931,28931,28931
2021-01-10,33753,33753,33753,0,0,0,33753,33753,33753,33753
2021-01-11,39939,39939,39939,0,0,0,39939,39939,39939,39939
2021-01-12,46124,46124,46124,0,0,0,46124,46124,46124,46124
2021-01-13,52310,52310,52310,0,0,0,52310,52310,52310,52310
2021-01-14,58495,58495,58495,0,0,0,58495,58495,58495,58495
2021-01-15,64681,64681,64681,0,0,0,64681,64681,64681,64681
2021-01-16,70866,70866,70866,0,0,0,70866,70866,70866,70866
2021-01-17,77052,77052,77052,0,0,0,77052,77052,77052,77052
2021-01-18,89863,89863,89863,0,0,0,89863,89863,89863,89863
2021-01-19,102675,102675,102675,0,0,0,102675,102675,102675,102675
2021-01-20,115486,115486,115486,0,0,0,115486,115486,115486,115486
2021-01-21,128296,128296,128296,0,0,0,128296,128296,128296,128296
2021-01-22,141107,141107,141107,0,0,0,141107,141107,141107,141107
2021-01-23,149097,153919,151508,0,0,0,144275,153919,149097,153919
2021-01-24,157086,166730,161908,0,0,0,147442,166730,157086,166730
2021-01-25,178760,193226,185993,0,0,0,164294,193226,178760,193226
2021-01-26,200434,219721,210078,0,19287,9644,181147,219721,200434,219721
2021-01-27,222108,246217,234162,0,24109,12054,197999,246217,222108,246217
2021-01-28,243781,272712,258246,0,28931,14466,214850,272712,243781,272712
2021-01-29,265455,294386,279920,4822,33753,19288,231702,289564,260633,299208
2021-01-30,285764,316059,300912,9644,39939,24792,245825,306415,276120,325703
2021-01-31,306075,337733,321904,14466,46124,30295,259951,323267,291609,352199
2021-02-01,331480,364503,347992,19287,52310,35798,279170,345216,312193,383790
2021-02-02,356886,391272,374079,24109,58495,41302,298391,367163,332777,415381
2021-02-03,382291,418041,400166,28931,64681,46806,317610,389110,353360,446972
2021-02-04,407696,444809,426252,33753,70866,52310,336830,411056,373943,478562
2021-02-05,433101,470214,451658,39939,77052,58496,356049,430275,393162,510153
2021-02-06,452248,495620,473934,46124,89496,67810,362752,449496,406124,541744
2021-02-07,471395,521025,496210,52310,101940,77125,369455,468715,419085,573335
2021-02-08,502565,546010,524288,58495,101940,80218,400625,487515,444070,604505
2021-02-09,533732,570991,552362,64681,101940,83310,431792,506310,469051,635672
2021-02-10,552458,595976,574217,70866,114384,92625,438074,525110,481592,666842
