date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated,total_vaccinations
2021-01-03,0,0,0,0,0,0,0,0,0,0
2021-01-04,4822,4822,4822,0,0,0,4822,4822,4822,4822
2021-01-05,9644,9644,9644,0,0,0,9644,9644,9644,9644
2021-01-06,14466,14466,14466,0,0,0,14466,14466,14466,14466
2021-01-07,19289,19289,19289,0,0,0,19289,19289,19289,19289
2021-01-08,24111,24111,24111,0,0,0,24111,24111,24111,24111
2021-01-09,28933,28933,28933,0,0,0,28933,28933,28933,28933
2021-01-10,33755,33755,33755,0,0,0,33755,33755,33755,33755
2021-01-11,39925,39925,39925,0,0,0,39925,39925,39925,39925
2021-01-12,46095,46095,46095,0,0,0,46095,46095,46095,46095
2021-01-13,52265,52265,52265,0,0,0,52265,52265,52265,52265
2021-01-14,58434,58434,58434,0,0,0,58434,58434,58434,58434
2021-01-15,64604,64604,64604,0,0,0,64604,64604,64604,64604
2021-01-16,70774,70774,70774,0,0,0,70774,70774,70774,70774
2021-01-17,76944,76944,76944,0,0,0,76944,76944,76944,76944
2021-01-18,89706,89706,89706,0,0,0,89706,89706,89706,89706
2021-01-19,102470,102470,102470,0,0,0,102470,102470,102470,102470
2021-01-20,115232,115232,115232,0,0,0,115232,115232,115232,115232
2021-01-21,127995,127995,127995,0,0,0,127995,127995,127995,127995
2021-01-22,140757,140757,140757,0,0,0,140757,140757,140757,140757
2021-01-23,148699,153521,151110,0,0,0,143877,153521,148699,153521
2021-01-24,156639,166283,161461,0,0,0,146995,166283,156639,166283
2021-01-25,178298,192764,185531,0,0,0,163832,192764,178298,192764
2021-01-26,199956,219245,209600,0,19289,9644,180667,219245,199956,219245
2021-01-27,221615,245726,233670,0,24111,12056,197504,245726,221615,245726
2021-01-28,243273,272206,257740,0,28933,14466,214340,272206,243273,272206
2021-01-29,264932,293865,279398,4822,33755,19288,231177,289043,260110,298687
2021-01-30,285243,315524,300384,9644,39925,24784,245318,305880,275599,325168
2021-01-31,305554,337183,321368,14466,46095,30280,259459,322717,291088,351649
2021-02-01,330811,363787,347299,19289,52265,35777,278546,344498,311522,383076
2021-02-02,356068,390391,373230,24111,58434,41272,297634,366280,331957,414502
2021-02-03,381325,416996,399160,28933,64604,46768,316721,388063,352392,445929
2021-02-04,406583,443602,425092,33755,70774,52264,335809,409847,372828,477357
2021-02-05,431840,468859,450350,39925,76944,58434,354896,428934,391915,508784
2021-02-06,450871,494115,472493,46095,89339,67717,361532,448020,404776,540210
2021-02-07,469902,519372,494637,52265,101735,77000,368167,467107,417637,571637
2021-02-08,500885,544186,522536,58434,101735,80084,399150,485752,442451,602620
2021-02-09,531867,568998,550432,64604,101735,83170,430132,504394,467263,633602
2021-02-10,550455,593811,572133,70774,114130,92452,436325,523037,479681,664585
