date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated,total_vaccinations
2021-01-03,0,0,0,0,0,0,0,0,0,0
2021-01-04,4822,4822,4822,0,0,0,4822,4822,4822,4822
2021-01-05,9644,9644,9644,0,0,0,9644,9644,9644,9644
2021-01-06,14466,14466,14466,0,0,0,14466,14466,14466,14466
2021-01-07,19287,19287,19287,0,0,0,19287,19287,19287,19287
2021-01-08,24109,24109,24109,0,0,0,24109,24109,24109,24109
2021-01-09,28931,28931,28931,0,0,0,28931,28931,28931,28931
2021-01-10,33753,33753,33753,0,0,0,33753,33753,33753,33753
2021-01-11,39920,39920,39920,0,0,0,39920,39920,39920,39920
2021-01-12,46088,46088,46088,0,0,0,46088,46088,46088,46088
2021-01-13,52255,52255,52255,0,0,0,52255,52255,52255,52255
2021-01-14,58423,58423,58423,0,0,0,58423,58423,58423,58423
2021-01-15,64590,64590,64590,0,0,0,64590,64590,64590,64590
2021-01-16,70758,70758,70758,0,0,0,70758,70758,70758,70758
2021-01-17,76925,76925,76925,0,0,0,76925,76925,76925,76925
2021-01-18,89685,89685,89685,0,0,0,89685,89685,89685,89685
2021-01-19,102446,102446,102446,0,0,0,102446,102446,102446,102446
2021-01-20,115206,115206,115206,0,0,0,115206,115206,115206,115206
2021-01-21,127967,127967,127967,0,0,0,127967,127967,127967,127967
2021-01-22,140727,140727,140727,0,0,0,140727,140727,140727,140727
2021-01-23,148666,153488,151077,0,0,0,143844,153488,148666,153488
2021-01-24,156604,166248,161426,0,0,0,146960,166248,156604,166248
2021-01-25,178260,192726,185493,0,0,0,163794,192726,178260,192726
2021-01-26,199915,219202,209558,0,19287,9644,180628,219202,199915,219202
2021-01-27,221571,245680,233626,0,24109,12054,197462,245680,221571,245680
2021-01-28,243226,272157,257692,0,28931,14466,214295,272157,243226,272157
2021-01-29,264882,293813,279348,4822,33753,19288,231129,288991,260060,298635
2021-01-30,285191,315467,300329,9644,39920,24782,245271,305823,275547,325111
2021-01-31,305501,337123,321312,14466,46088,30277,259413,322657,291035,351589
2021-02-01,330747,363715,347231,19287,52255,35771,278492,344428,311460,383002
2021-02-02,355992,390306,373149,24109,58423,41266,297569,366197,331883,414415
2021-02-03,381238,416897,399068,28931,64590,46760,316648,387966,352307,445828
2021-02-04,406483,443488,424986,33753,70758,52256,335725,409735,372730,477241
2021-02-05,431729,468734,450232,39920,76925,58422,354804,428814,391809,508654
2021-02-06,450749,493979,472364,46088,89318,67703,361431,447891,404661,540067
2021-02-07,469769,519225,494497,52255,101711,76983,368058,466970,417514,571480
2021-02-08,500701,543989,522345,58423,101711,80067,398990,485566,442278,602412
2021-02-09,531633,568754,550194,64590,101711,83150,429922,504164,467043,633344
2021-02-10,550172,593518,571845,70758,114104,92431,436068,522760,479414,664276
