date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated,total_vaccinations
2021-01-03,0,0,0,0,0,0,0,0,0,0
2021-01-04,4822,4822,4822,0,0,0,4822,4822,4822,4822
2021-01-05,9645,9645,9645,0,0,0,9645,9645,9645,9645
2021-01-06,14467,14467,14467,0,0,0,14467,14467,14467,14467
2021-01-07,19290,19290,19290,0,0,0,19290,19290,19290,19290
2021-01-08,24112,24112,24112,0,0,0,24112,24112,24112,24112
2021-01-09,28935,28935,28935,0,0,0,28935,28935,28935,28935
2021-01-10,33757,33757,33757,0,0,0,33757,33757,33757,33757
2021-01-11,39927,39927,39927,0,0,0,39927,39927,39927,39927
2021-01-12,46097,46097,46097,0,0,0,46097,46097,46097,46097
2021-01-13,52267,52267,52267,0,0,0,52267,52267,52267,52267
2021-01-14,58438,58438,58438,0,0,0,58438,58438,58438,58438
2021-01-15,64608,64608,64608,0,0,0,64608,64608,64608,64608
2021-01-16,70778,70778,70778,0,0,0,70778,70778,70778,70778
2021-01-17,76948,76948,76948,0,0,0,76948,76948,76948,76948
2021-01-18,89711,89711,89711,0,0,0,89711,89711,89711,89711
2021-01-19,102474,102474,102474,0,0,0,102474,102474,102474,102474
2021-01-20,115237,115237,115237,0,0,0,115237,115237,115237,115237
2021-01-21,128001,128001,128001,0,0,0,128001,128001,128001,128001
2021-01-22,140764,140764,140764,0,0,0,140764,140764,140764,140764
2021-01-23,148705,153527,151116,0,0,0,143883,153527,148705,153527
2021-01-24,156645,166290,161468,0,0,0,147000,166290,156645,166290
2021-01-25,178304,192771,185538,0,0,0,163837,192771,178304,192771
2021-01-26,199962,219252,209607,0,19290,9645,180672,219252,199962,219252
2021-01-27,221621,245733,233677,0,24112,12056,197509,245733,221621,245733
2021-01-28,243279,272214,257746,0,28935,14468,214344,272214,243279,272214
2021-01-29,264938,293873,279406,4822,33757,19290,231181,289051,260116,298695
2021-01-30,285249,315531,300390,9645,39927,24786,245322,305886,275604,325176
2021-01-31,305560,337190,321375,14467,46097,30282,259463,322723,291093,351657
2021-02-01,330817,363794,347306,19290,52267,35778,278550,344504,311527,383084
2021-02-02,356073,390399,373236,24112,58438,41275,297635,366287,331961,414511
2021-02-03,381330,417003,399166,28935,64608,46772,316722,388068,352395,445938
2021-02-04,406587,443608,425098,33757,70778,52268,335809,409851,372830,477365
2021-02-05,431844,468865,450354,39927,76948,58438,354896,428938,391917,508792
2021-02-06,450875,494122,472498,46097,89344,67720,361531,448025,404778,540219
2021-02-07,469907,519379,494643,52267,101739,77003,368168,467112,417640,571646
2021-02-08,500890,544191,522540,58438,101739,80088,399151,485753,442452,602629
2021-02-09,531872,569003,550438,64608,101739,83174,430133,504395,467264,633611
2021-02-10,550459,593816,572138,70778,114135,92456,436324,523038,479681,664594
