date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated,total_vaccinations
2021-01-03,0,0,0,0,0,0,0,0,0,0
2021-01-04,4822,4822,4822,0,0,0,4822,4822,4822,4822
2021-01-05,9643,9643,9643,0,0,0,9643,9643,9643,9643
2021-01-06,14465,14465,14465,0,0,0,14465,14465,14465,14465
2021-01-07,19287,19287,19287,0,0,0,19287,19287,19287,19287
2021-01-08,24109,24109,24109,0,0,0,24109,24109,24109,24109
2021-01-09,28930,28930,28930,0,0,0,28930,28930,28930,28930
2021-01-10,33752,33752,33752,0,0,0,33752,33752,33752,33752
2021-01-11,39919,39919,39919,0,0,0,39919,39919,39919,39919
2021-01-12,46087,46087,46087,0,0,0,46087,46087,46087,46087
2021-01-13,52254,52254,52254,0,0,0,52254,52254,52254,52254
2021-01-14,58422,58422,58422,0,0,0,58422,58422,58422,58422
2021-01-15,64589,64589,64589,0,0,0,64589,64589,64589,64589
2021-01-16,70757,70757,70757,0,0,0,70757,70757,70757,70757
2021-01-17,76924,76924,76924,0,0,0,76924,76924,76924,76924
2021-01-18,89684,89684,89684,0,0,0,89684,89684,89684,89684
2021-01-19,102445,102445,102445,0,0,0,102445,102445,102445,102445
2021-01-20,115205,115205,115205,0,0,0,115205,115205,115205,115205
2021-01-21,127966,127966,127966,0,0,0,127966,127966,127966,127966
2021-01-22,140726,140726,140726,0,0,0,140726,140726,140726,140726
2021-01-23,148665,153487,151076,0,0,0,143843,153487,148665,153487
2021-01-24,156604,166247,161426,0,0,0,146961,166247,156604,166247
2021-01-25,178260,192725,185492,0,0,0,163795,192725,178260,192725
2021-01-26,199914,219201,209558,0,19287,9644,180627,219201,199914,219201
2021-01-27,221570,245679,233624,0,24109,12054,197461,245679,221570,245679
2021-01-28,243226,272156,257691,0,28930,14465,214296,272156,243226,272156
2021-01-29,264882,293812,279347,4822,33752,19287,231130,288990,260060,298634
2021-01-30,285191,315467,300329,9643,39919,24781,245272,305824,275548,325110
2021-01-31,305501,337123,321312,14465,46087,30276,259414,322658,291036,351588
2021-02-01,330747,363714,347230,19287,52254,35770,278493,344427,311460,383001
2021-02-02,355991,390304,373148,24109,58422,41266,297569,366195,331882,414413
2021-02-03,381237,416896,399066,28930,64589,46760,316648,387966,352307,445826
2021-02-04,406482,443487,424984,33752,70757,52254,335725,409735,372730,477239
2021-02-05,431728,468733,450230,39919,76924,58422,354804,428814,391809,508652
2021-02-06,450747,493977,472362,46087,89317,67702,361430,447890,404660,540064
2021-02-07,469767,519223,494495,52254,101710,76982,368057,466969,417513,571477
2021-02-08,500699,543987,522343,58422,101710,80066,398989,485565,442277,602409
2021-02-09,531631,568752,550192,64589,101710,83150,429921,504163,467042,633341
2021-02-10,550170,593516,571843,70757,114103,92430,436067,522759,479413,664273
