date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated,total_vaccinations
2021-01-03,0,0,0,0,0,0,0,0,0,0
2021-01-04,4830,4830,4830,0,0,0,4830,4830,4830,4830
2021-01-05,9660,9660,9660,0,0,0,9660,9660,9660,9660
2021-01-06,14490,14490,14490,0,0,0,14490,14490,14490,14490
2021-01-07,19320,19320,19320,0,0,0,19320,19320,19320,19320
2021-01-08,24150,24150,24150,0,0,0,24150,24150,24150,24150
2021-01-09,28980,28980,28980,0,0,0,28980,28980,28980,28980
2021-01-10,33810,33810,33810,0,0,0,33810,33810,33810,33810
2021-01-11,40077,40077,40077,0,0,0,40077,40077,40077,40077
2021-01-12,46344,46344,46344,0,0,0,46344,46344,46344,46344
2021-01-13,52611,52611,52611,0,0,0,52611,52611,52611,52611
2021-01-14,58879,58879,58879,0,0,0,58879,58879,58879,58879
2021-01-15,65146,65146,65146,0,0,0,65146,65146,65146,65146
2021-01-16,71413,71413,71413,0,0,0,71413,71413,71413,71413
2021-01-17,77680,77680,77680,0,0,0,77680,77680,77680,77680
2021-01-18,90503,90503,90503,0,0,0,90503,90503,90503,90503
2021-01-19,103328,103328,103328,0,0,0,103328,103328,103328,103328
2021-01-20,116151,116151,116151,0,0,0,116151,116151,116151,116151
2021-01-21,128975,128975,128975,0,0,0,128975,128975,128975,128975
2021-01-22,141798,141798,141798,0,0,0,141798,141798,141798,141798
2021-01-23,149793,154623,152208,0,0,0,144963,154623,149793,154623
2021-01-24,157786,167446,162616,0,0,0,148126,167446,157786,167446
2021-01-25,179499,193989,186744,0,0,0,165009,193989,179499,193989
2021-01-26,201210,220530,210870,0,19320,9660,181890,220530,201210,220530
2021-01-27,222923,247073,234998,0,24150,12075,198773,247073,222923,247073
2021-01-28,244634,273614,259124,0,28980,14490,215654,273614,244634,273614
2021-01-29,266347,295327,280837,4830,33810,19320,232537,290497,261517,300157
2021-01-30,286621,317038,301830,9660,40077,24868,246544,307378,276961,326698
2021-01-31,306897,338751,322824,14490,46344,30417,260553,324261,292407,353241
2021-02-01,332145,365436,348790,19320,52611,35966,279534,346116,312825,384756
2021-02-02,357391,392120,374756,24150,58879,41514,298512,367970,333241,416270
2021-02-03,382639,418805,400722,28980,65146,47063,317493,389825,353659,447785
2021-02-04,407886,445489,426688,33810,71413,52612,336473,411679,374076,479299
2021-02-05,433134,470737,451936,40077,77680,58878,355454,430660,393057,510814
2021-02-06,452192,495984,474088,46344,90136,68240,362056,449640,405848,542328
2021-02-07,471250,521232,496241,52611,102593,77602,368657,468621,418639,573843
2021-02-08,502374,546088,524231,58879,102593,80736,399781,487209,443495,604967
2021-02-09,533496,570943,552220,65146,102593,83870,430903,505797,468350,636089
2021-02-10,552164,595800,573982,71413,115049,93231,437115,524387,480751,667213
2021-02-11,570832,620657,595744,77680,127505,102592,443327,542977,493152,698337
2021-02-12,589500,639325,614412,90136,139961,115048,449539,549189,499364,729461
2021-02-13,612628,657990,635309,102593,147955,125274,464673,555397,510035,760583
2021-02-14,635758,689114,662436,102593,155949,129271,479809,586521,533165,791707
2021-02-15,650561,725095,687828,102593,177127,139860,473434,622502,547968,827688
2021-02-16,665364,761076,713220,102593,198305,150449,467059,658483,562771,863669
2021-02-17,680167,797057,738612,102593,219483,161038,460684,694464,577574,899650
2021-02-18,694969,833037,764003,102593,240661,171627,454308,730444,592376,935630
2021-02-19,709772,869018,789395,102593,261839,182216,447933,766425,607179,971611
2021-02-20,725478,892543,809010,115049,282114,198582,443364,777494,610429,1007592
2021-02-21,741184,916068,828626,127505,302389,214947,438795,788563,613679,1043573
2021-02-22,765310,953032,859171,139961,327683,233822,437627,813071,625349,1092993
2021-02-23,789438,989628,889533,152785,352975,252880,436463,836843,636653,1142413
2021-02-24,813564,1026224,919894,165609,378269,271939,435295,860615,647955,1191833
2021-02-25,837692,1049636,943664,191617,403561,297589,434131,858019,646075,1241253
