date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated,total_vaccinations
2021-01-03,0,0,0,0,0,0,0,0,0,0
2021-01-04,4822,4822,4822,0,0,0,4822,4822,4822,4822
2021-01-05,9645,9645,9645,0,0,0,9645,9645,9645,9645
2021-01-06,14467,14467,14467,0,0,0,14467,14467,14467,14467
2021-01-07,19290,19290,19290,0,0,0,19290,19290,19290,19290
2021-01-08,24112,24112,24112,0,0,0,24112,24112,24112,24112
2021-01-09,28935,28935,28935,0,0,0,28935,28935,28935,28935
2021-01-10,33757,33757,33757,0,0,0,33757,33757,33757,33757
2021-01-11,39927,39927,39927,0,0,0,39927,39927,39927,39927
2021-01-12,46098,46098,46098,0,0,0,46098,46098,46098,46098
2021-01-13,52268,52268,52268,0,0,0,52268,52268,52268,52268
2021-01-14,58438,58438,58438,0,0,0,58438,58438,58438,58438
2021-01-15,64608,64608,64608,0,0,0,64608,64608,64608,64608
2021-01-16,70779,70779,70779,0,0,0,70779,70779,70779,70779
2021-01-17,76949,76949,76949,0,0,0,76949,76949,76949,76949
2021-01-18,89712,89712,89712,0,0,0,89712,89712,89712,89712
2021-01-19,102476,102476,102476,0,0,0,102476,102476,102476,102476
2021-01-20,115239,115239,115239,0,0,0,115239,115239,115239,115239
2021-01-21,128004,128004,128004,0,0,0,128004,128004,128004,128004
2021-01-22,140767,140767,140767,0,0,0,140767,140767,140767,140767
2021-01-23,148709,153531,151120,0,0,0,143887,153531,148709,153531
2021-01-24,156649,166294,161472,0,0,0,147004,166294,156649,166294
2021-01-25,178309,192776,185542,0,0,0,163842,192776,178309,192776
2021-01-26,199967,219257,209612,0,19290,9645,180677,219257,199967,219257
2021-01-27,221627,245739,233683,0,24112,12056,197515,245739,221627,245739
2021-01-28,243284,272219,257752,0,28935,14468,214349,272219,243284,272219
2021-01-29,264944,293879,279412,4822,33757,19290,231187,289057,260122,298701
2021-01-30,285255,315537,300396,9645,39927,24786,245328,305892,275610,325182
2021-01-31,305566,337197,321382,14467,46098,30282,259468,322730,291099,351664
2021-02-01,330823,363801,347312,19290,52268,35779,278555,344511,311533,383091
2021-02-02,356080,390406,373243,24112,58438,41275,297642,366294,331968,414518
2021-02-03,381337,417010,399174,28935,64608,46772,316729,388075,352402,445945
2021-02-04,406594,443616,425105,33757,70779,52268,335815,409859,372837,477373
2021-02-05,431851,468873,450362,39927,76949,58438,354902,428946,391924,508800
2021-02-06,450882,494129,472506,46098,89345,67722,361537,448031,404784,540227
2021-02-07,469913,519386,494650,52268,101741,77004,368172,467118,417645,571654
2021-02-08,500896,544199,522548,58438,101741,80090,399155,485761,442458,602637
2021-02-09,531879,569012,550446,64608,101741,83174,430138,504404,467271,633620
2021-02-10,550466,593824,572145,70779,114137,92458,436329,523045,479687,664603
