date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated,total_vaccinations
2021-01-03,0,0,0,0,0,0,0,0,0,
2021-01-04,4822,4822,4822,0,0,0,4822,4822,4822,
2021-01-05,9643,9643,9643,0,0,0,9643,9643,9643,
2021-01-06,14465,14465,14465,0,0,0,14465,14465,14465,
2021-01-07,19286,19286,19286,0,0,0,19286,19286,19286,
2021-01-08,24108,24108,24108,0,0,0,24108,24108,24108,
2021-01-09,28929,28929,28929,0,0,0,28929,28929,28929,
2021-01-10,33751,33751,33751,0,0,0,33751,33751,33751,
2021-01-11,39918,39918,39918,0,0,0,39918,39918,39918,
2021-01-12,46084,46084,46084,0,0,0,46084,46084,46084,
2021-01-13,52251,52251,52251,0,0,0,52251,52251,52251,
2021-01-14,58418,58418,58418,0,0,0,58418,58418,58418,
2021-01-15,64585,64585,64585,0,0,0,64585,64585,64585,
2021-01-16,70751,70751,70751,0,0,0,70751,70751,70751,
2021-01-17,76918,76918,76918,0,0,0,76918,76918,76918,
2021-01-18,89678,89678,89678,0,0,0,89678,89678,89678,
2021-01-19,102439,102439,102439,0,0,0,102439,102439,102439,
2021-01-20,115199,115199,115199,0,0,0,115199,115199,115199,
2021-01-21,127959,127959,127959,0,0,0,127959,127959,127959,
2021-01-22,140719,140719,140719,0,0,0,140719,140719,140719,
2021-01-23,148658,153480,151069,0,0,0,143836,153480,148658,
2021-01-24,156597,166240,161418,0,0,0,146954,166240,156597,
2021-01-25,178253,192718,185486,0,0,0,163788,192718,178253,
2021-01-26,199908,219194,209551,0,19286,9643,180622,219194,199908,
2021-01-27,221564,245672,233618,0,24108,12054,197456,245672,221564,
2021-01-28,243219,272148,257684,0,28929,14464,214290,272148,243219,
2021-01-29,264875,293804,279340,4822,33751,19286,231124,288982,260053,
2021-01-30,285184,315459,300322,9643,39918,24780,245266,305816,275541,
2021-01-31,305496,337115,321306,14465,46084,30274,259412,322650,291031,
2021-02-01,330742,363707,347224,19286,52251,35768,278491,344421,311456,
2021-02-02,355987,390297,373142,24108,58418,41263,297569,366189,331879,
2021-02-03,381233,416889,399061,28929,64585,46757,316648,387960,352304,
2021-02-04,406480,443480,424980,33751,70751,52251,335729,409729,372729,
2021-02-05,431726,468726,450226,39918,76918,58418,354808,428808,391808,
2021-02-06,450745,493972,472358,46084,89311,67698,361434,447888,404661,
2021-02-07,469765,519218,494492,52251,101704,76978,368061,466967,417514,
2021-02-08,500697,543983,522340,58418,101704,80061,398993,485565,442279,
2021-02-09,531627,568746,550186,64585,101704,83144,429923,504161,467042,
2021-02-10,550166,593512,571839,70751,114097,92424,436069,522761,479415,
2021-02-11,568704,618275,593490,76918,126489,101704,442215,541357,491786,
2021-02-12,587243,636814,612028,89311,138882,114096,448361,547503,497932,
2021-02-13,610235,655351,632793,101704,146820,124262,463415,553647,508531,
2021-02-14,633227,686283,659755,101704,154760,128232,478467,584579,531523,
2021-02-15,647742,721919,684830,101704,175881,138792,471861,620215,546038,
2021-02-16,662254,757553,709904,101704,197003,149354,465251,655849,560550,
2021-02-17,676769,793189,734979,101704,218124,159914,458645,691485,575065,
2021-02-18,691282,828824,760053,101704,239246,170475,452036,727120,589578,
2021-02-19,705797,864460,785128,101704,260367,181036,445430,762756,604093,
2021-02-20,721121,887701,804411,114097,280677,197387,440444,773604,607024,
2021-02-21,736446,910945,823696,126489,300988,213738,435458,784456,609957,
2021-02-22,760350,947748,854049,138882,326280,232581,434070,808866,621468,
2021-02-23,784256,984185,884220,151642,351571,251606,432685,832543,632614,
2021-02-24,808160,1020620,914390,164403,376863,270633,431297,856217,643757,
2021-02-25,832065,1043874,937970,190346,402155,296250,429910,853528,641719,
2021-02-26,880359,1067127,973743,216289,403057,309673,477302,850838,664070,
2021-02-27,928700,1090381,1009540,242232,403913,323072,524787,848149,686468,
2021-02-28,977041,1113634,1045338,268175,404768,336472,572273,845459,708866,
2021-03-01,1018208,1134536,1076372,289296,405624,347460,612584,845240,728912,
2021-03-02,1059375,1154903,1107139,310952,406480,358716,652895,843951,748423,
2021-03-03,1100542,1175271,1137906,332607,407336,369972,693206,842664,767935,
2021-03-04,1141711,1190657,1166184,359245,408191,383718,733520,831412,782466,
2021-03-05,1158488,1206044,1182266,385881,433437,409659,725051,820163,772607,
2021-03-06,1181439,1221429,1201434,412519,452509,432514,728930,808910,768920,
2021-03-07,1204391,1236816,1220604,439155,471580,455368,732811,797661,765236,
2021-03-08,1220578,1276497,1248538,440057,495976,468016,724602,836440,780521,
2021-03-09,1236765,1316222,1276494,440913,520370,480642,716395,875309,795852,
2021-03-10,1263520,1355950,1309735,441768,534198,487983,729322,914182,821752,
2021-03-11,1303563,1395677,1349620,442624,534738,488681,768825,953053,860939,
2021-03-12,1343606,1435404,1389505,443480,535278,489379,808328,991924,900126,
2021-03-13,1382271,1475129,1428700,444336,537194,490765,845077,1030793,937935,
2021-03-14,1420939,1514857,1467898,445191,539109,492150,881830,1069666,975748,
2021-03-15,1431869,1544402,1488136,446047,558580,502314,873289,1098355,985822,
2021-03-16,1442798,1573894,1508346,446955,578051,512503,864747,1126939,995843,
2021-03-17,1453728,1578998,1516363,472252,597522,534887,856206,1106746,981476,
2021-03-18,1460373,1584101,1522237,497551,621279,559415,839094,1086550,962822,
2021-03-19,1467016,1589205,1528110,522848,645037,583942,821979,1066357,944168,
2021-03-20,1495550,1594916,1545233,547537,646903,597220,848647,1047379,948013,
2021-03-21,1524083,1600630,1562356,572224,648771,610498,875312,1028406,951859,
2021-03-22,1564689,1619269,1591979,596057,650637,623347,914052,1023212,968632,
2021-03-23,1602491,1636531,1619511,621266,655306,638286,947185,1015265,981225,
2021-03-24,1640297,1657453,1648875,642816,659972,651394,980325,1014637,997481,
2021-03-25,1678054,1680087,1679070,662653,664686,663670,1013368,1017434,1015401,
2021-03-26,1697351,1715813,1706582,669399,687861,678630,1009490,1046414,1027952,
2021-03-27,1730516,1753698,1742107,673985,697167,685576,1033349,1079713,1056531,
2021-03-28,1770705,1790240,1780472,679915,699450,689682,1071255,1110325,1090790,
2021-03-29,1832713,1848601,1840657,685845,701733,693789,1130980,1162756,1146868,
2021-03-30,1870681,1905180,1887930,693557,728056,710806,1142625,1211623,1177124,
2021-03-31,1909016,1961761,1935388,701267,754012,727640,1155004,1260494,1207749,
2021-04-01,1947351,2018393,1982872,708925,779967,744446,1167384,1309468,1238426,
2021-04-02,1985686,2075026,2030356,716583,805923,761253,1179763,1358443,1269103,
2021-04-03,2024022,2107209,2065616,748691,831878,790284,1192144,1358518,1275331,
2021-04-04,2074750,2139393,2107072,780798,845441,813120,1229309,1358595,1293952,
2021-04-05,2152944,2199042,2175993,812906,859004,835955,1293940,1386136,1340038,
2021-04-06,2224506,2260052,2242279,843655,879201,861428,1345305,1416397,1380851,
2021-04-07,2296603,2321058,2308830,874406,898861,886634,1397742,1446652,1422197,
2021-04-08,2368697,2383442,2376070,903779,918524,911152,1450173,1479663,1464918,
2021-04-09,2445823,2453976,2449900,925002,933155,929078,1512668,1528974,1520821,
2021-04-10,2532442,2539254,2535848,931483,938295,934889,1594147,1607771,1600959,
2021-04-11,2612831,2624534,2618682,937960,949663,943812,1663168,1686574,1674871,
2021-04-12,2716714,2733302,2725008,944441,961029,952735,1755685,1788861,1772273,
2021-04-13,2830489,2838919,2834704,954075,962505,958290,1867984,1884844,1876414,
2021-04-14,2944264,2944488,2944376,963755,963979,963867,1980285,1980733,1980509,
2021-04-15,3047955,3050056,3049006,973436,975537,974486,2072418,2076620,2074519,
2021-04-16,3138728,3160607,3149668,978134,1000013,989074,2138715,2182473,2160594,
2021-04-17,3226536,3271159,3248848,982833,1027456,1005144,2199080,2288326,2243703,
2021-04-18,3314346,3381710,3348028,987531,1054895,1021213,2259451,2394179,2326815,
2021-04-19,3380229,3470336,3425282,993500,1083607,1038554,2296622,2476836,2386729,
2021-04-20,3459580,3538173,3498876,1020257,1098850,1059554,2360730,2517916,2439323,
2021-04-21,3538934,3606064,3572499,1046961,1114091,1080526,2424843,2559103,2491973,
2021-04-22,3618160,3673878,3646019,1073743,1129461,1101602,2488699,2600135,2544417,
2021-04-23,3702205,3741691,3721948,1100525,1140011,1120268,2562194,2641166,2601680,
2021-04-24,3786153,3809503,3797828,1127307,1150657,1138982,2635496,2682196,2658846,
2021-04-25,3847728,3877319,3862524,1154086,1183677,1168882,2664051,2723233,2693642,
2021-04-26,3914000,3949831,3931916,1185247,1221078,1203162,2692922,2764584,2728753,
2021-04-27,3975120,4016010,3995565,1222744,1263634,1243189,2711486,2793266,2752376,
2021-04-28,4039040,4082192,4060616,1260235,1303387,1281811,2735653,2821957,2778805,
