date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated,total_vaccinations
2021-01-03,0,0,0,0,0,0,0,0,0,0
2021-01-04,4830,4830,4830,0,0,0,4830,4830,4830,4830
2021-01-05,9660,9660,9660,0,0,0,9660,9660,9660,9660
2021-01-06,14490,14490,14490,0,0,0,14490,14490,14490,14490
2021-01-07,19321,19321,19321,0,0,0,19321,19321,19321,19321
2021-01-08,24151,24151,24151,0,0,0,24151,24151,24151,24151
2021-01-09,28981,28981,28981,0,0,0,28981,28981,28981,28981
2021-01-10,33811,33811,33811,0,0,0,33811,33811,33811,33811
2021-01-11,40079,40079,40079,0,0,0,40079,40079,40079,40079
2021-01-12,46346,46346,46346,0,0,0,46346,46346,46346,46346
2021-01-13,52614,52614,52614,0,0,0,52614,52614,52614,52614
2021-01-14,58881,58881,58881,0,0,0,58881,58881,58881,58881
2021-01-15,65149,65149,65149,0,0,0,65149,65149,65149,65149
2021-01-16,71416,71416,71416,0,0,0,71416,71416,71416,71416
2021-01-17,77684,77684,77684,0,0,0,77684,77684,77684,77684
2021-01-18,90507,90507,90507,0,0,0,90507,90507,90507,90507
2021-01-19,103332,103332,103332,0,0,0,103332,103332,103332,103332
2021-01-20,116155,116155,116155,0,0,0,116155,116155,116155,116155
2021-01-21,128980,128980,128980,0,0,0,128980,128980,128980,128980
2021-01-22,141803,141803,141803,0,0,0,141803,141803,141803,141803
2021-01-23,149798,154628,152213,0,0,0,144968,154628,149798,154628
2021-01-24,157791,167451,162621,0,0,0,148131,167451,157791,167451
2021-01-25,179504,193994,186749,0,0,0,165014,193994,179504,193994
2021-01-26,201214,220535,210874,0,19321,9660,181893,220535,201214,220535
2021-01-27,222927,247078,235002,0,24151,12076,198776,247078,222927,247078
2021-01-28,244639,273620,259130,0,28981,14490,215658,273620,244639,273620
2021-01-29,266352,295333,280842,4830,33811,19320,232541,290503,261522,300163
2021-01-30,286625,317044,301834,9660,40079,24870,246546,307384,276965,326704
2021-01-31,306901,338757,322829,14490,46346,30418,260555,324267,292411,353247
2021-02-01,332149,365442,348796,19321,52614,35968,279535,346121,312828,384763
2021-02-02,357397,392127,374762,24151,58881,41516,298516,367976,333246,416278
2021-02-03,382645,418813,400729,28981,65149,47065,317496,389832,353664,447794
2021-02-04,407895,445500,426698,33811,71416,52614,336479,411689,374084,479311
2021-02-05,433143,470748,451946,40079,77684,58882,355459,430669,393064,510827
2021-02-06,452202,495996,474099,46346,90140,68243,362062,449650,405856,542342
2021-02-07,471261,521244,496252,52614,102597,77606,368664,468630,418647,573858
2021-02-08,502383,546099,524241,58881,102597,80739,399786,487218,443502,604980
2021-02-09,533504,570952,552228,65149,102597,83873,430907,505803,468355,636101
2021-02-10,552170,595807,573988,71416,115053,93234,437117,524391,480754,667223
2021-02-11,570835,620661,595748,77684,127510,102597,443325,542977,493151,698345
2021-02-12,589501,639327,614414,90140,139966,115053,449535,549187,499361,729467
2021-02-13,612628,657991,635310,102597,147960,125278,464668,555394,510031,760588
2021-02-14,635756,689113,662434,102597,155954,129276,479802,586516,533159,791710
2021-02-15,650562,725097,687830,102597,177132,139864,473430,622500,547965,827694
2021-02-16,665369,761081,713225,102597,198309,150453,467060,658484,562772,863678
2021-02-17,680175,797065,738620,102597,219487,161042,460688,694468,577578,899662
2021-02-18,694980,833049,764014,102597,240666,171632,454314,730452,592383,935646
2021-02-19,709786,869033,789410,102597,261844,182220,447942,766436,607189,971630
2021-02-20,725496,892561,809028,115053,282118,198586,443378,777508,610443,1007614
2021-02-21,741205,916088,828646,127510,302393,214952,438812,788578,613695,1043598
2021-02-22,765331,953052,859192,139966,327687,233826,437644,813086,625365,1093018
2021-02-23,789457,989648,889552,152790,352981,252886,436476,836858,636667,1142438
2021-02-24,813583,1026244,919914,165614,378275,271944,435308,860630,647969,1191858
2021-02-25,837707,1049655,943681,191622,403570,297596,434137,858033,646085,1241277
